type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
Crystal violet,Trichoderma lignorum,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,55.26%,whole fungi,Depth of decolorization ranged from 9 to 21 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Crystal violet,Fusarium oxysporum,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,28.10%,whole fungi,Depth of decolorization ranged from 9 to 21 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Crystal violet,Aspergillus niger,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,23.68%,whole fungi,Depth of decolorization ranged from 9 to 21 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Methylene blue,Trichoderma lignorum,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,21.50%,whole fungi,Depth of decolorization ranged from 5 to 8 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Methylene blue,Fusarium oxysporum,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,14.90%,whole fungi,Depth of decolorization ranged from 5 to 8 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Methylene blue,Aspergillus niger,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,13.15%,whole fungi,Depth of decolorization ranged from 5 to 8 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Congo red,Fusarium oxysporum,0.01%,Not specified,stationary,25°C,10 days,Not specified,78.90%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Congo red,Aspergillus niger,0.01%,Not specified,stationary,25°C,10 days,Not specified,74.07%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Congo red,Trichoderma lignorum,0.01%,Not specified,stationary,25°C,10 days,Not specified,35.25%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Crystal violet,Trichoderma lignorum,0.01%,Not specified,stationary,25°C,10 days,Not specified,92.70%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Crystal violet,Fusarium oxysporum,0.01%,Not specified,stationary,25°C,10 days,Not specified,53.40%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Crystal violet,Aspergillus niger,0.01%,Not specified,stationary,25°C,10 days,Not specified,33.82%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Methylene blue,Trichoderma lignorum,0.01%,Not specified,stationary,25°C,10 days,Not specified,48.30%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Methylene blue,Fusarium oxysporum,0.01%,Not specified,stationary,25°C,10 days,Not specified,48.50%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Methylene blue,Aspergillus niger,0.01%,Not specified,stationary,25°C,10 days,Not specified,22.44%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Congo red,Fusarium oxysporum,0.01%,Not specified,shaking,25°C,10 days,Not specified,90% (approx.),whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Crystal violet,Trichoderma lignorum,0.01%,Not specified,shaking,25°C,10 days,Not specified,96.60%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Methylene blue,Trichoderma lignorum,0.01%,Not specified,shaking,25°C,10 days,Not specified,85.20%,whole fungi,,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
,Agaricus heterocystis,,7 mm mycelial disc,static,30 ± 1 °C,17 days,5.5,45.19 ± 1.08 U/ml,mycelium,Optimum temperature for MnP production.,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt
,Agaricus heterocystis,,7 mm mycelial disc,static,30 ± 1 °C,17 days,3.5,Low activity,mycelium,Low ligninolytic activity at more acidic pH.,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt
,Agaricus heterocystis,,7 mm mycelial disc,static,30 ± 1 °C,19 days,5.5,53.86 ± 1.09 U/ml,mycelium,Maximum enzyme production using peptone.,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt
,Agaricus heterocystis,,7 mm mycelial disc,static,30 ± 1 °C,19 days,,52.17 ± 0.97 U/ml,mycelium,Max production recorded with fructose at 0.1%.,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt
,Agaricus heterocystis,,7 mm mycelial disc,static,30 ± 1 °C,17 days,,54.39 ± 0.87 U/ml,mycelium,Highest production with tryptophan at 0.01%.,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt
Carmoisine Red,Pleurotus ostreatus,10 ppm,5 g/L (dried),shaking,room temperature,5 days,6.5,81.34%,,,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt
Tartrazine Yellow,Pleurotus ostreatus,10 ppm,5 g/L (dried),shaking,room temperature,5 days,6.5,45.36%,,,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt
Brilliant Blue FCF,Pleurotus ostreatus,10 ppm,5 g/L (dried),shaking,room temperature,5 days,6.5,19.82%,,,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt
Fast Green FCF,Pleurotus ostreatus,10 ppm,5 g/L (dried),shaking,room temperature,5 days,6.5,28.99%,,,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt
Congo Red,Irpex lacteus KUC8958,0.1 g/L,5 mm diameter disk,shaking,27°C,14 days,not specified,95%,whole fungi,High-performance liquid chromatography detected complete degradation.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt
Reactive Blue 4,Irpex lacteus KUC8958,0.1 g/L,5 mm diameter disk,shaking,27°C,14 days,not specified,100%,whole fungi,Complete degradation detected by HPLC.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt
Orange II,Irpex lacteus KUC8958,0.1 g/L,5 mm diameter disk,shaking,27°C,14 days,not specified,53%,whole fungi,Some toxicity increased after decolorization.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt
Congo Red,Irpex lacteus KUC8958,0.1 g/L,5 mm diameter disk,static,27°C,14 days,not specified,77%,whole fungi,Higher decolorization under shaking compared to static conditions.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt
Reactive Blue 4,Irpex lacteus KUC8958,0.1 g/L,5 mm diameter disk,static,27°C,14 days,not specified,44%,whole fungi,Higher decolorization under shaking compared to static conditions.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt
Orange II,Irpex lacteus KUC8958,0.1 g/L,5 mm diameter disk,static,27°C,14 days,not specified,9%,whole fungi,Lower efficiency under static conditions.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt
Congo Red,Grammothele subargentea,0.01%,,,25°C,7 days,,1,mycellium,Growth reduction: 22%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Methyl Red,Grammothele subargentea,0.01%,,,25°C,7 days,,1,mycellium,Growth reduction: 42%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Trypan Blue,Grammothele subargentea,0.01%,,,25°C,7 days,,1,mycellium,Growth reduction: 1.3%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Methylene Blue B,Grammothele subargentea,0.01%,,,25°C,21 days,,4,mycellium,Growth reduction: 26.9%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Neutral Red,Grammothele subargentea,0.01%,,,25°C,14 days,,2,mycellium,Growth reduction: 17.4%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Toluidine Blue,Grammothele subargentea,0.01%,,,25°C,14 days,,2,mycellium,Growth reduction: 19.5%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Bengal Rose,Grammothele subargentea,0.01%,,,25°C,7 days,,1,mycellium,Growth reduction: 50.6%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Eosin Y,Grammothele subargentea,0.01%,,,25°C,14 days,,2,mycellium,Growth reduction: 38.7%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Phloxine,Grammothele subargentea,0.01%,,,25°C,7 days,,1,mycellium,Growth reduction: 36.8%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Brilliant Green,Grammothele subargentea,0.01%,,,25°C,21 days,,3,mycellium,Growth reduction: 90.3%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Crystal Violet,Grammothele subargentea,0.01%,,,25°C,21 days,,3,mycellium,Growth reduction: 84.8%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Fuchsin,Grammothele subargentea,0.01%,,,25°C,14 days,,2,mycellium,Growth reduction: 23.9%,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Brilliant Green,Grammothele subargentea,0.6 mM Cu2+,,,50-55°C,7 days,4,,mycellium,Laccase activity was highest.,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Eucalyptus globulus,Grammothele subargentea,,2 g,,25°C,15 and 30 days,,,mycellium,Wood mass loss of 5.5% after 15 days and 8.2% after 30 days.,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
Reactive blue 19,Trametes versicolor,Not specified,Not specified,Not specified,4 °C,36 hours,5,High rate,Mycellium,Dye decolorized more rapidly compared to azo dyes.,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt
Dispersed blue 3,Trametes versicolor,Not specified,Not specified,Not specified,4 °C,36 hours,5,High rate,Mycellium,Dye decolorized more rapidly compared to azo dyes.,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt
Acid blue 74,Trametes versicolor,Not specified,Not specified,Not specified,4 °C,36 hours,5,High rate,Mycellium,Dye decolorized more rapidly compared to azo dyes.,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt
Acid red 27,Trametes versicolor,Not specified,Not specified,Not specified,4 °C,36 hours,5,Moderate rate,Mycellium,Less efficient compared to anthraquinone dyes.,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt
Reactive black 5,Trametes versicolor,Not specified,Not specified,Not specified,4 °C,36 hours,5,Permanent adsorption,Mycellium,Laccase was totally inactivated.,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt
Acid Red 131,Aspergillus niger,100 mg/L,24 hrs cultured,shaking,30°C,60 minutes,7,maximum,whole fungi,,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt
Acid Red 131,Aspergillus niger,75 mg/L,24 hrs cultured,shaking,30°C,60 minutes,7,maximum,whole fungi,,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt
Acid Red 131,Aspergillus niger,50 mg/L,24 hrs cultured,shaking,30°C,60 minutes,7,moderate,whole fungi,,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt
Acid Red 131,Aspergillus niger,25 mg/L,24 hrs cultured,shaking,30°C,60 minutes,7,low,whole fungi,,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt
Acid Red 131,Aspergillus niger,100 mg/L,24 hrs cultured,shaking,40°C,60 minutes,7,decreased,whole fungi,,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt
Acid Red 131,Aspergillus niger,100 mg/L,24 hrs cultured,shaking,50°C,60 minutes,7,further decreased,whole fungi,,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt
Crystal Violet,Trametes maxima LE130,200 ppm,10 mm diameter plugs,static incubation,28°C,30 days,6,"0.639 at day 5, 2.543 at day 15",whole fungi,Significant differences at p ≤ 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Reactive Black 5,Trametes maxima LE130,200 ppm,10 mm diameter plugs,static incubation,28°C,30 days,6,1.000 at day 15,whole fungi,Significant differences at p ≤ 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Remazol Brilliant Blue R,Trametes maxima LE130,200 ppm,10 mm diameter plugs,static incubation,28°C,30 days,6,1.000 at day 15,whole fungi,Significant differences at p ≤ 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Crystal Violet,Trametes sp. LA1,200 ppm,10 mm diameter plugs,static incubation,28°C,30 days,6,"0.000 at day 5, 1.059 at day 15",whole fungi,Significant differences at p ≤ 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Reactive Black 5,Trametes sp. LA1,200 ppm,10 mm diameter plugs,static incubation,28°C,30 days,6,1.000 at day 15,whole fungi,Significant differences at p ≤ 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Remazol Brilliant Blue R,Trametes sp. LA1,200 ppm,10 mm diameter plugs,static incubation,28°C,30 days,6,0.413 at day 15,whole fungi,Significant differences at p ≤ 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Crystal Violet,Trametes sp. LA1,200 ppm,200 ppm,200 rpm,28°C,24 h,varied as per medium,79.70%,whole fungi,Color reduction measured at 588 nm,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Reactive Black 5,Trametes sp. LA1,200 ppm,200 ppm,200 rpm,28°C,24 h,varied as per medium,54.80%,whole fungi,Color reduction measured at 597 nm,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Remazol Brilliant Blue R,Trametes sp. LA1,200 ppm,200 ppm,200 rpm,28°C,24 h,varied as per medium,49.60%,whole fungi,Color reduction measured at 592 nm,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt
Methyl Green,Myceliophthora thermophila,0.02%,20 U,stirring,30°C,6 h,4.5,75%,whole fungi,Decolorization with or without redox mediator HBT showed no appreciable change,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt
Methyl Orange,Myceliophthora thermophila,0.02%,20 U,stirring,30°C,6 h,4.5,61%,whole fungi,"With HBT, decolorization increased to 82%",Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt
Acid Blue 25,Myceliophthora thermophila,0.02%,20 U,stirring,30°C,6 h,4.5,Directly decolorized,whole fungi,No appreciable change with HBT,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt
Acid Green 27,Myceliophthora thermophila,0.02%,20 U,stirring,30°C,6 h,4.5,Directly decolorized,whole fungi,No appreciable change with HBT,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt
RBBR,Myceliophthora thermophila,0.02%,20 U,stirring,30°C,24 h,4.5,31% with HBT,whole fungi,No decolorization without enzyme,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt
RB-5,Myceliophthora thermophila,0.02%,20 U,stirring,30°C,24 h,4.5,60% with redox mediator HBT,whole fungi,No decolorization without mediator,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt
Reactive Black 5,Phanerochaete sordida PBU 0057,100 mg/L,Unknown,static,30ºC,72 hours,pH 6-8,100%,mycelium,Complete decoloration within three days.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt
Reactive Black 5,Phanerochaete chrysosporium ATCC 24725,100 mg/L,Unknown,static,30ºC,96 hours,pH 7,96%,mycelium,Reached maximum decoloration by 96 hours.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt
Reactive Black 5,Phanerochaete sordida PBU 0057,200 mg/L,Unknown,static,30ºC,Unknown,pH 7,slower than 100 mg/L,mycelium,Complete decoloration by 72 hours at 100 mg/L.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt
Reactive Black 5,Phanerochaete sordida PBU 0057,100 mg/L,Unknown,150 rpm,30ºC,72 hours,pH 7,100%,mycelium,Decoloration rate T80 calculated.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt
Reactive Black 5,Phanerochaete sordida PBU 0057,100 mg/L,Unknown,0 rpm,25ºC,96 hours,pH 7,complete,mycelium,Decoloration occurs without agitation.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt
Reactive Black 5,Phanerochaete sordida PBU 0057,100 mg/L,Unknown,150 rpm,35ºC,72 hours,pH 7,100%,mycelium,Complete decoloration reached at this temperature.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt
Reactive Black 5,Phanerochaete sordida PBU 0057,200 mg/L,Unknown,150 rpm,30ºC,Unknown,pH 7,less complete than at 100 mg/L,mycelium,Rate of decoloration decreased at this concentration.,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt
Orange II,Pleurotus ostreatus,100 ppm,Not specified,Shaking at 150 rpm,30°C,3 days,10 mM buffer,90% color removal in 3 days,,,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
Acid Red 29,Pleurotus ostreatus,100 ppm,Not specified,Shaking at 150 rpm,30°C,3 days,10 mM buffer,90% color removal in 3 days,,,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
Remazol Brilliant Blue R,Pleurotus ostreatus,100 ppm,Not specified,Shaking at 150 rpm,30°C,3 days,10 mM buffer,70% color removal in 3 days,,,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
Disperse Red 1,Pleurotus ostreatus,50 ppm,Not specified,Shaking at 150 rpm,30°C,7 days,10 mM buffer,"Nitrosobenzene, 4-nitrophenol, 4-nitroaniline detected",,,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
Disperse Red 19,Pleurotus ostreatus,50 ppm,Not specified,Shaking at 150 rpm,30°C,7 days,10 mM buffer,"Nitrosobenzene, 4-nitrophenol, detected",,,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
Disperse Orange 1,Pleurotus ostreatus,50 ppm,Not specified,Shaking at 150 rpm,30°C,7 days,10 mM buffer,"Nitrosobenzene, 4-nitrophenol detected",,,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
Disperse Orange 25,Pleurotus ostreatus,50 ppm,Not specified,Shaking at 150 rpm,30°C,7 days,10 mM buffer,"Nitrosobenzene, 4-nitrophenol detected",,,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
4-nitrophenol,Pleurotus ostreatus,25 ppm,Not specified,Static and then shaking,30°C,7 days,10 mM buffer,90% degradation observed,,4-nitroanisole and other compounds detected,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
4-nitroaniline,Pleurotus ostreatus,25 ppm,Not specified,Static and then shaking,30°C,7 days,10 mM buffer,Decreased over time with degradation products detected,,Nitrobenzene and other products detected,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt
Synazol red HF-6BN,Aspergillus niger,Not specified,Not specified,Not specified,Not specified,24 d,Not specified,88.00%,whole fungi,Ilyas and Rehman (2013),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Synazol red HF-6BN,Nigrospora sp.,Not specified,Not specified,Not specified,Not specified,24 d,Not specified,96.00%,whole fungi,Ilyas and Rehman (2013),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Congo red,Oudemansiella canarii,Not specified,Not specified,Not specified,Not specified,60,Not specified,80.00%,whole fungi,Iark et al. (2019),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Remazol blue,Peurotus florida,Not specified,Not specified,Not specified,Not specified,72 h,Not specified,94.60%,whole fungi,Montiague et al. (2020),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Direct Blue-1,Aspergillus terreus,Not specified,Not specified,Not specified,Not specified,168 h,Not specified,98.40%,whole fungi,Singh and Dwivedi (2020),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Acid Blue 29,Aspergillus fumigatus,Not specified,Not specified,Not specified,Not specified,---,Not specified,85.00%,whole fungi,Ameen et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Reactive blue 4,Aspergillus flavus,Not specified,Not specified,Not specified,Not specified,---,Not specified,86.00%,whole fungi,Ameen et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Acid blue 12,Trametes hirsuta D7,Not specified,Not specified,Not specified,Not specified,---,Not specified,90.00%,whole fungi,Khan et al. (2020),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Synozol Red HF-6BN,Aspergillus nidulans,Not specified,Not specified,Not specified,Not specified,---,Not specified,90.00%,whole fungi,Alam et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
Disperse red 1,Trametes hirsuta D7,Not specified,Not specified,Not specified,Not specified,---,Not specified,96.00%,whole fungi,Alam et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt
