filename,status,baseline_score,few_shot_examples_score,chain_of_thought_score
Serotonin+syndrome+as+a+result+of+fluoxetine+in+a+patient+with+tramadol+abuse%3A+plasma+level-correlated+symptomatology_.txt,processed,0,0.1,0.1
Proposal+for+a+common+nomenclature+for+sequence+ions+in+mass+spectra+of+peptides_.txt,processed,0,0.2,0.1
Cross-Linking+of+Technical+Lignin+via+Esterification+and+Thermally+Initiated+Free+Radical+Reaction_.txt,processed,0,0.3,0.1
Effect+of+potentially+probiotic+lactobacilli+on+faecal+enzyme+activity+in+minipigs+on+a+high-fat%2C+high-cholesterol+diet+%E2%80%93a+preliminary+in+vivo+trial_.txt,processed,0,0.1,0
Use+of+sublingual+olanzapine+in+serotonin+syndrome_.txt,processed,0,0.1,0.1
Comparison+of+electrocoagulation+and+chemical+coagulation+processes+in+removing+Reactive+red+196+from+aqueous+solution_.txt,processed,0.1111111111,0.2,0.2
Tumor+promotion+by+metanil+yellow+and+malachite+green_.txt,processed,0,0.3,0.1
On+the+role%28s%29+of+additives+in+bioinspired+silicification_.txt,processed,0.1111111111,0.2,0.3
Bacterial+decolorization+and+degradation+of+azo+dyes_.txt,processed,0.7777777778,0.8,0.8
Equilibrium%2C+kinetics+and+thermodynamic+of+Remazol+Brilliant+Orange+3R+dye+adsorption+on+coffee+husk-based+activated+carbon_.txt,processed,0,0.3,0.1
Continuous+treatment+of+textile+water+by+ozonation+and+coagulation_.txt,processed,0,0.2,0.2
Effect+of+tween+20+and+tween+80+on+enzyme+production+in+bacteria_.txt,processed,0,0.1,0.1
Methylmalonyl+CoA+mutase+handbook+of+metalloproteins_.txt,processed,0,0.3,0.1
Agroscope+FAL_.txt,processed,0.1111111111,0.3,0.2
Long-term+microplastic+retention+causes+reduced+body+condition+in+the+langoustine%2C+Nephrops+norvegicus_.txt,processed,0,0.1,0.1
Laccase+Production+in+White+Rot+Fungi_.txt,processed,1,1,1
Transformation+of+Manganese+Oxides+by+Organic+Constituents+in+Natural+and+Laboratory+Systems_.txt,processed,0.2222222222,0.3,0.9
Empirical+bayes+analysis+of+a+microarray+experiment_.txt,processed,0,0.1,0.1
Serotonin+syndrome%3A+potentially+fatal+but+difficult+to+recognize_.txt,processed,0,0.1,0.1
Decolorization+and+biodegradation+of+methyl+red+by+Klebsiella+pneumoniae+RS-13_.txt,processed,0.2222222222,0.2,0.2
The+taxonomy%2C+ecology+and+cultivation+of+bacterial+genera+belonging+to+the+family+Flavobacteriaceae_.txt,processed,0,0.1,0.1
Removal+of+p-chlorophenol+by+the+marine+microalga+Tetraselmis+suecica_.txt,processed,0.8888888889,0.8,0.4
Oxidation+kinetics+of+Fenton%E2%80%99s+process+in+dye+degradation_.txt,processed,0.1111111111,0.3,0.3
Some+properties+of+a+granular+activated+carbon-sequencing+batch+reactor+%28GAC-SBR%29+system+for+treatment+of+textile+wastewater+containing+direct+dyes_.txt,processed,0.1111111111,0.3,0.3
Anion+exchange+resins+for+removal+of+reactive+dyes+from+textile+wastewaters_.txt,processed,0.8888888889,0.8,1
Nitrate+has+a+low+impact+on+performance+parameters+and+health+status+of+on-growing+European+sea+bass+%28Dicentrarchus+labrax%29+reared+in+RAS_.txt,processed,1,0.2,0.2
Effect+of+Some+Operational+Parameters+on+Textile+Dye+Biodegradation+in+a+Sequential+Batch+Reactor_.txt,processed,0.1111111111,0.8,0.3
Simultaneous+measurement+of+two+enzyme+activities+using+infrared+spectroscopy%3A+a+comparative+evaluation+of+PARAFAC%2C+TUCKER+and+N-PLS+modeling_.txt,processed,1,0.6,0.9
Heterotrophic+cultures+of+microalgae%3A+metabolism+and+potential+products_.txt,processed,0,0.2,0.5
Colour+in+textile+effluents%2C+Sources%2C+measurements%2C+discharge+consents+and+simulation%3A+a+review_.txt,processed,0.1111111111,0.8,0.3
Antidepressants%3A+clinically+relevant+drug+interactions+to+be+considered_.txt,processed,0,0.1,0.1
Eco-friendly+biodegradation+and+detoxification+of+Reactive+Red+2+textile+dye+by+newly+isolated+Pseudomonas+sp.+SUK1_.txt,processed,0.1111111111,0.2,0.3
Ability+of+natural+bacterial+isolates+to+metabolize+high+and+low+molecular+weight+lignin-derived+molecules_.txt,processed,0.2222222222,0.5,0.2
Degradation+of+substituted+phenols+by+purified+laccase+and+laccase-producing+microorganisms_.txt,processed,0.4444444444,0.9,0.3
The+shikimate+pathway%3A+early+steps+in+the+biosynthesis+of+aromatic+compounds_.txt,processed,0.1111111111,0.2,0.2
On+the+biodegradation+of+poly-beta-hydroxybutyrate+homopolymer+and+poly+beta-hydroxybutyrate%E2%80%93hydroxyvalerate+copolymers_.txt,processed,0,0.1,0.1
Bubble+properties+and+local+liquid+velocity+in+the+radial+direction+of+cocurrent+gas%E2%80%94liquid+flow_.txt,processed,0,0.2,0.1
Brain+and+body+temperature+homeostasis+during+sodium+pentobarbital+anesthesia+with+and+without+body+warming+in+rats_.txt,processed,0,0.1,0.1
Biofilm+and+granular+systems+to+improve+Anammox+biomass+retention_.txt,processed,0,0.3,0.2
Diversity+of+benthic+microalgae+in+response+to+colonization+time_.txt,processed,0,0.3,0.3
Nitrate+Toxicity+on+Visceral+Organs+of+Medaka+Fish%2C+Oryzias+latipes_.txt,processed,0,0.2,0.1
Molecular+basis+of+the+catalytic+differences+among+DT-diaphorase+of+human%2C+rat%2C+and..._.txt,processed,0.2222222222,0.2,0.2
Design+of+Multiphase+Reactors_.txt,processed,0,0.2,0.1
Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,processed,1,0.9,1
Evaluation+of+ALRs+in+Bioremediation+of+Phenolic+Effluents_.txt,processed,1,1,1
Genital+powder+exposure+and+the+risk+of+epithelial+ovarian+cancer_.txt,processed,0,0.1,0.1
Mutagenicity+and+possible+carcinogenicity+of+hair+colourants+and+constituents_.txt,processed,0,0.3,0.1
Industrial+Environment%3A+Assessment+and+strategy_.txt,processed,0.1111111111,0.3,0.2
Design%2C+synthesis+and+biological+evaluation+of+6+-aminopurine+analogues+as+potential+xanthine+oxidase+inhibitors_.txt,processed,0,0.1,0.1
Photodegradation+of+BTX+mixture+in+aqueous+phase+by+using+ZnO+photocatalyst_.txt,processed,0.1111111111,0.3,0.1
Biosensor+using+immobilized+Chlorella+microalgae+for+determination+of+volatile+organic+compounds_.txt,processed,0.2222222222,0.3,0.3
Serotonin+syndrome+in+a+child+associated+with+erythromycin+and+sertraline_.txt,processed,0,0.1,0.1
Metabolic+acidosis+in+restraint-associated+cardiac+arrest%3A+a+case+series_.txt,processed,0,0.2,0.1
A+New+Alkali-Thermostable+Azoreductase+from+Bacillus+sp.+Strain+SF_.txt,processed,0.8888888889,0.8,0.3
Dyes+decolorized+by+combined+SQ1CV+clones_.txt,processed,0.4444444444,0.8,0.3
Neural+tissue+engineering%3A+strategies+for+repair+and+regeneration_.txt,processed,0.2222222222,0.1,0.1
14%CE%B1-Hydroxylation+of+androst-4-en-3%2C17-dione+by+the+whole+cell+of+cyanobacterium+Nostoc+piscinale_.txt,processed,0.8888888889,0.8,0.4
Immobilized+microalga+Scenedesmus+quadricauda+for+long-term+storage_.txt,processed,0.2222222222,0.4,0.2
Studies+on+the+optimization+of+carbonyl+reductase+production+by+Geotrichumcandidum+%3A+application+in+the+synthesis+of+%28S%29+-%28-%29-1-%281%E2%80%99-Naphthyl%29+ethanol+from+1+-acetonaphthone_.txt,processed,0.1111111111,0.2,0.3
Fermentationn+optimization+for+the+production+of+poly%28+%CE%B2-hydroxybutyric+acid%29+microbial+thermoplastic_.txt,processed,0.4444444444,0.3,0.4
Silver-modified+titanium+dioxide+thin+films+for+efficient+photodegradation+of+methyl+orange_.txt,processed,0.3333333333,0.2,0.1
Determination+of+Diffuser+Bubble+Size+in+Computational+Fluid+Dynamics+Models_.txt,processed,0,0.5,0.2
Operational+optimization+of+batchwise+nutrient+removal+from+wastewater+by+carrageenan+immobilized+Chlorella+vulgaris_.txt,processed,1,0.9,0.9
Randomized+study+of+intravenous+valproate+and+phenytoin+in+status+epilepticus_.txt,processed,0,0.1,0.1
Sorption+of+Dyes+from+Aqueous+Solutions+onto+Fly+Ash_.txt,processed,0.2222222222,0.3,0.2
Sorption+of+reactive+dyes+by+Aeromonas+biomass_.txt,processed,1,0.9,0.9
Neurologic+effects+of+tryptophan+in+patients+receiving+a+monoamine+oxidase+inhibitor_.txt,processed,0,0.1,0.1
Impact+of+pH+on+dye+degradation+using+Fenton%E2%80%99s+process_.txt,processed,0,0.2,0.2
Role+of+the+N-terminal+polycystic+kidney+domain+in+chitin+degradation+by+chitinase+A+from+a+marine+bacterium%2C+Alteromonas+sp.+Strain+O-7_.txt,processed,0.8888888889,0.8,0.4
Removal+of+azo+and+anthraquinone+reactive+dyes+from+industrial+waste+waters+using+MgO+nanoparticles_.txt,processed,0,0.1,0.1
Decolorization+and+biodegradation+of+Methyl+Red+by+Klebsiella+pneumoniae+RS-13_.txt,processed,0.3333333333,0.3,0.2
Bioaugmentation+of+bromoamine+acid+degradation+with+Sphingomonas+xenophaga+QYY+and+DNA+fingerprint+analysis+of+augmented+systems_.txt,processed,0.2222222222,0.7,0.3
Biodegradation+of+reactive+red+195+azo+dye+by+the+bacterium+Rhodopseudomonas+palustris+51ATA_.txt,processed,0.2222222222,0.3,0.3
Characterization+of+rubber+degrading+isolates_.txt,processed,0.7777777778,0.8,0.1
Adsorption+kinetics+and+column+operations+for+the+removal+and+recovery+of+malachite+green+from+wastewater_2004.txt,processed,0,0.5,0.1
Studies+on+the+free+and+immobilized+whole+cells+of+Rhodococcus+erythropolis+for+the+production+of+pharmaceutically+important+amides_.txt,processed,0.3333333333,0.2,0.1
Effect+of+chloride+and+sulfate+ions+on+the+advanced+photo+Fenton+and+modified+photo+Fenton+degradation+process+of+Alizarin+Red+S_.txt,processed,0,0.2,0.1
Trends+in+color+removal+from+textile+mill+effluents_.txt,processed,0.8888888889,0.9,0.9
Effect+of+alloying+elements+on+microstructure+and+properties+of+multiprincipal+elements+high-entropy+alloys_.txt,processed,0,0.2,0.1
Fed+Batch+Experiment+for+Laccase+Production_.txt,processed,0.8888888889,0.9,0.9
Case-based+reasoning%3A+Experiences%2C+lessons+and+future+directions_.txt,processed,0,0.1,0.1
Decolorization+of+triphenylmethane%2C+azo+and+anthraquinone+dyes..._.txt,processed,0.7777777778,0.8,0.9
Biodegradation+of+Turquoise+Blue+Dye+by+Bacillus+megaterium+isolated+from+industrial+Effluent_.txt,processed,1,0.9,1
Decolorization+of+the+azo+dye+Reactive+Black+5+by+Fenton+and+photo-Fenton+oxidation_.txt,processed,0.3333333333,0.3,0.3
Mutagenicity+of+different+textile+dye+products_.txt,processed,0,0.3,0.3
Fungal+mediated+decolorization+of+media+containing+procion+dyes_.txt,processed,0.8888888889,0.9,0.9
Biodegradation+of+synthetic+dyes+by+Pseudomonas+putida_.txt,processed,0.3333333333,0.8,0.2
Cleavage+of+Structural+Proteins+during+the+Assembly+of+the+Head_.txt,processed,0,0,0.1
Geogenic+contaminants+in+groundwater+resources+of+Amazonian+riverine+communities%3A+results+of+a+vast+exploratory+field-study_.txt,processed,0,0.2,0.1
Multivariate+SPC+charts+for+monitoring+batch+processes_.txt,processed,0,0.1,0.1
Transformation+of+Nano+Zero-Valent+Iron+during+Oxidation+Process+using+Persulfate_.txt,processed,0.2222222222,0.5,0.7
The+prediction+of+sorption+from+a+binary+mixture+of+acidic+dyes+using+single-and+mixed-isotherm+variants+of+the+ideal+adsorbed+solute+theory_.txt,processed,0,0.3,0.3
The+Libby+Zion+case%3A+one+step+forward+or+two+steps+backward%3F_.txt,processed,0,0.1,0.1
Toxicological+effect+of+indole+and+its+azo+dye+derivatives+on+some+microorganisms+under+aerobic+conditions_.txt,processed,0,0.2,0.2
Studies+of+adsorptive+interaction+between+Aspergillus+niger+and+the+reactive+azo+dye+procion+blue+MX-G_.txt,processed,1,0.9,1
FbiC+gene+involvement+in+triphenylmethane+dye+decolorization_.txt,processed,1,0.7,0.3
Reduction+of+azo+dyes+during+in+vitro+percutaneous+absorption_.txt,processed,0,0.1,0.1
Cancer+Risk+Assessment+of+Azo+Dyes+and+Aromatic+Amines_.txt,processed,0,0.1,0
The+significance+of+azo-reduction+in+the+mutagenesis+and+carcinogenesis+of+azo+dyes_.txt,processed,0,0.1,0.1
Propofol+treatment+of+refractory+status+epilepticus%3A+a+study+of+31+episodes_.txt,processed,0,0.2,0.1
Reactor+Performance+in+Airlift+Reactors_.txt,processed,1,1,1
Biodegradation+and+decolorization+of+acid+red+by+Acinetobacter+radioresistens_.txt,processed,0.2222222222,0.3,0.2
Evaluation+of+new+2%2C2%E2%80%B2-dimethyl-5%2C5%E2%80%B2-dipropoxybenzidine-+and+3%2C3%E2%80%B2-dipropoxybenzidine-based+direct+dye+analogs_.txt,processed,0.1111111111,0.3,0.4
Fenton+and+biological-Fenton+coupled+processes+for+textile+wastewater+treatment+and+reuse_.txt,processed,0,0.3,0.2
Mechanistic+study+of+a+diazo+dye+degradation+by+Soybean+Peroxidase_.txt,processed,0.1111111111,0.3,0.3
Formation+of+simple+crystal+structures+in+Cu-Co-Ni-Cr-Al-Fe-Ti-V+alloys+with+multiprincipal+metallic+elements_.txt,processed,0,0.1,0.1
Strategies+for+fermentation+medium+optimization%3A+An+in-depth+review_.txt,processed,0,0.3,0.5
Seltene+und+neue+Kieselalgen_.txt,processed,0,0.3,0.1
Diatoms+of+Yunchun+Dam+reservoir+and+its+tributaries%2C+Kyung+Pook+Prefecture%2C+Korea_.txt,processed,0.2222222222,0.3,0.2
Biodegradation+of+azo+dyes+in+a+sequential+anaerobic-aerobic+system_.txt,processed,0.4444444444,0.7,0.9
Development+of+an+efficient+recombinant+bacterium+and+its+application+in+the+degradation+of+environmentally+hazardous+azo+dyes_.txt,processed,0.7777777778,0.8,0.1
DNS+Method+for+Glucose+Determination_.txt,processed,0.2222222222,0.3,0.5
The+relationship+between+microstructure+and+mode+of+fracture+in+polyhydroxybutyrate_.txt,processed,0,0.2,0.4
Photocatalytic+decolorization+of+wastewater+dyes_.txt,processed,0.2222222222,0.2,0.3
Photodegradation+of+azo+pyridine+dye+using+TiO2+films+prepared+by+the+spray+pyrolysis+method_.txt,processed,0,0.2,0.2
Microplastic+particles+in+sediments+of+Lagoon+of+Venice%2C+Italy%3A+First+observations+on+occurrence%2C+spatial+patterns+and+identification_.txt,processed,0.1111111111,0.1,0.2
Adsorption+of+bisphenol+from+industrial+wastewater+by+modified+red+mud_.txt,processed,0,0.3,0.3
Degradation+of+crystal+violet+by+Nocardia+corallina_.txt,processed,0.1111111111,0.3,0.2
Evolutionary+domain+fusion+expanded+the+substrate+specificity+of..._.txt,processed,0,0.1,0.1
Short-chain+fatty+acids+protect+gnotobiotic+Artemia+franciscana+from+pathogenic+Vibrio+campbellii_.txt,processed,0.1111111111,0.3,0.2
Environmental+Pollution_.txt,processed,0.7777777778,0.3,0.1
Decolorization+of+textile+dyes+by+white-rot+fungi_.txt,processed,1,0.9,1
Adsorption+kinetics+and+column+operations+for+the+removal+and+recovery+of+malachite+green+from+wastewater+using+bottom+ash_.txt,processed,0.4444444444,0.4,0.2
Abalone+mariculture+in+China_.txt,processed,0,0.2,0.5
Cloning+of+genes+coding+for+L-sorbose+and+L-sorbosone+dehydrogenases..._.txt,processed,0,0.1,0.1
Formaldehyde+and+hexamethylenetetramine+in+Styles%E2%80%99+cell+transformation+assay_.txt,processed,0,0.2,0.1
Co-administration+of+MDMA+with+drugs+that+protect+against+MDMA+neurotoxicity+produces+different+effects+on+body+temperature+in+the+rat_.txt,processed,0,0.2,0.2
Removal+of+azo+and+anthraquinone+reactive+dyes+from+industrial+wastewaters+using+MgO+nanoparticles_.txt,processed,0,0.1,0.1
Synthesis%2C+biological+evaluation+and+physicochemical+parameter+studies+of+imidazo%5B1%2C2-a%5Dpyrazinederivatives+as+potential+topoisomerase+inhibitors_.txt,processed,0.4444444444,0.2,0.7
Overall+evaluations+of+carcinogenicity%3A+an+updating+of+IARC+Monographs+volumes+1+to+42_.txt,processed,0,0.2,0.1
Role+of+reductase-related+protein+in+dye+decolorization_.txt,processed,0.8888888889,0.9,0.3
Kinetics+of+bacterial+decolorization+of+azo+dyes+with+Escherichia+coli+NO3_.txt,processed,0.2222222222,0.8,0.2
Bioreductive+activation+of+a+series+of+indolequinones+by+human+DT-diaphorase%3A+structure-activity+relationships_.txt,processed,0,0.2,0.1
Anaerobic+sequencing+batch+reactors+in+pilot-scale+for+domestic+sewage+treatment_.txt,processed,0,0.2,0.2
Fungal+Laccase+Grafts+Acrylamide+onto+Lignin+in+Presence+of+Peroxides_.txt,processed,0.2222222222,0.6,0.8
Biological+oxidations+of+organic+compounds+by+enzymes+from+a+white+rot+fungus_.txt,processed,1,1,1
The+Trypanosoma+brucei+cytoskeleton%3A+ultrastructure+and+localization+of+microtubule-associated+and+spectrin-like+proteins+using+quick-freeze%2C+deep-etch%2C+immunogold+electron+microscopy_.txt,processed,0,0.1,0.1
Induction+of+papillary+adenocarcinoma+of+thyroid+in+albino+mice+by+saccharin+feeding_.txt,processed,0,0.1,0.1
Waste+Brick+as+Constructed+Wetland+Fillers+to+Treat+the+Tail+Water+of+Sewage+Treatment+Plant_.txt,processed,0.3333333333,0.3,0.3
Studies+on+the+isolation%2C+screening+and+characterization+of+a+novel+xylanase+producing+organism+and+its+application+in+food+processing_.txt,processed,0.1111111111,0.3,0.3
Adsorption%E2%80%93desorption+of+tetracycline+onto+molecularly+imprinted+polymer%3A+isotherm%2C+kinetics%2C+and+thermodynamics+studies_.txt,processed,0,0.3,0.2
Effect+of+Aeration+Rate+on+Oxygen+Transfer+Rate+%28OTR%29_.txt,processed,0,0.3,0.2
A+simple%2C+fast%2C+and+accurate+algorithm+to+estimate+large+phylogenies+by+maximum+likelihood_.txt,processed,0,0.2,0.1
Treatment+of+Landfill+Leachate+by+using+Electro-Fenton+method_.txt,processed,0,0.3,0.1
Thiopental+and+pentobarbital+in+the+treatment+of+refractory+generalized+status+epilepticus_.txt,processed,0,0.1,0.1
Photocatalytic+degradation+of+azo+dyes+catalyzed+by+Ag+doped+TiO2+Photocatalyst_.txt,processed,0,0.2,0.1
Oxidative+Biodegradation+of+an+Anthraquinone+Dye%2CPigment+Violet+12%2C+by+Coriolus+versicolor_.txt,processed,0.8888888889,0.8,0.9
Potential+of+bacteria+for+biological+decolorization+and+degradation+of+synthetic+dyes..._.txt,processed,0.5555555556,0.8,0.3
Evolutionary+trees+from+DNA+sequences%3A+a+maximum+likelihood+approach_.txt,processed,0,0.1,0
Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,processed,1,0.9,1
Biodegradation+of+triphenylmethane+dyes%2C+Enzymes+and+Microbial+Technology_.txt,processed,0.4444444444,0.2,0.3
The+genotoxicity+of+lucidin%2C+a+natural+component_.txt,processed,0,0.3,0.3
Severe+serotonin+syndrome+from+escitalopram+overdose_.txt,processed,0,0.2,0.1
Ayahuasca+preparations+and+serotonin+reuptake+inhibitors%3A+a+potential+combination+for+severe+adverse+reactions_.txt,processed,0,0.1,0.1
Biodegradation+of+azo+dyes+by+Shewanella+strain+J18+143_.txt,processed,0,0.8,0.2
Biodiversity%3A+Invasions+by+marine+life+on+plastics+debris_.txt,processed,0.1111111111,0.2,0.2
Denitrification+of+nitrate-contaminated+groundwater+using+biodegradable+snack+as+carbon+source+under+low-temperature+condition_.txt,processed,0,0.3,0.2
Estimating+the+dimension+of+a+model_.txt,processed,0,0.1,0.1
Decolorization+and+mineralization+of+commercial+reactive+dyes+by+using+homogeneous+and+heterogeneous+Fenton+and+UV%2FFenton+processes_.txt,processed,0,0.3,0.1
Modelling+of+the+synthetic+dye+Orange+II+degradation+using+Fenton%E2%80%99s+reagent%3A+From+batch+to+continuous+reactor+operation_.txt,processed,0.4444444444,0.2,0.2
The+aerobic+biodegradability+of+primary+aromatic+amines_.txt,processed,0,0.2,0.1
Using+global+sensitivity+analysis+to+establish+priorities+in+atmospheric+selenium+research_.txt,processed,0,0.1,0.2
Decolorization+of+azo+dyes+by+Bacillus+spp._.txt,processed,0.7777777778,0.8,0.9
Characterisation+of+the+flavin-free+oxygen-tolerant+azoreductase+from+Xenophilus+azovorans+KF46F+in+comparison+to+falvin-containing+azoreductases_.txt,processed,0.7777777778,0.9,0.3
Interactions+between+herbal+medicines+and+prescribed+drugs%3A+a+systematic+review_.txt,processed,0,0.1,0.1
Biodegradation+of+triphenylmethane+dyes+by+various+bacteria_.txt,processed,0.7777777778,0.8,0.9
The+GENE-TOX+program_.txt,processed,0,0.2,0.1
Microplastic+pollution+in+deep-sea+sediments_.txt,processed,0,0.2,0.1
Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,processed,1,0.9,1
Chemoenzymatical+Grafting+of+Acrylamide+onto+Lignin_.txt,processed,0.1111111111,0.6,0.9
Biodegradation+of+high+molecular+weight+PAHs+using+isolated+yeast+mixtures%3A+application+of+metagenomic+methods+for+community+structure+analyses_.txt,processed,0.8888888889,0.9,0.3
Comparative+studies+on+the+nutrition+of+two+species+of+abalone%2C+Haliotis+tuberculata+L.+and+Haliotis+discus+hannai+Ino%3A+V.+The+role+of+polyunsaturated+fatty+acids+of+macroalgae+in+abalone+nutrition_.txt,processed,0.1111111111,0.2,0.2
Ayahuasca%3A+An+ancient+sacrament+for+treatment+of+contemporary+psychiatric+illness%3F_.txt,processed,0,0.2,0.1
Application+of+radial+basis+function+and+feedforward+artificial+neural+networks+to+the+Escherichia+coli+fermentation+process_.txt,processed,0.1111111111,0.3,0.2
Trypanosoma+brucei+development+in+the+tsetse+fly%3A+characterization+of+the+post-mesocyclic+stages+in+the+foregut+and+proboscis_.txt,processed,0,0.2,0.1
Non-mutagenicity+of+the+hair+dye%2C+henna%2C+in+the+Ames+test_.txt,processed,0,0.3,0.3
Williams+and+Wilkins%2C+Baltimore%2C+USA.+Vol.+1.+Krieg%2C+N.+R.+%2A%28ed%29.+Ordinary+gram+negative+bacteria.+Vol.+2.+Sneath%2C+P.+h.+A+%28ed.%29+Ordinary+gram+positive+bacteria._.txt,processed,0,0.4,0.1
New+magnetic+chitosan%2Falginate%2FFe3O4%40SiO2+hydrogel+composites+applied+for+removal+of+Pb%28II%29+ions+from+aqueous+systems_.txt,processed,0.1111111111,0.2,0.2
Removal+of+disperse+dyes+from+textile+wastewater+using+bio-sludge_.txt,processed,0.1111111111,0.3,0.4
