id,filename,status,baseline_dye_1_score,baseline_dye_2_score,baseline_dye_3_score,few_shot_dye_1_score,few_shot_dye_2_score,few_shot_dye_3_score,cot_dye_1_score,cot_dye_2_score,cot_dye_3_score
100024,Indigo+degradation+with+purified+laccases+from+Trametes+hirsuta+and+sclerotim+rolfsii_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100025,Role+of+cyanobacteria+in+the+biodegradation+of+crude+oil+by+a+tropical+cyanobacterial+mat_.txt,processed,1.0,1.0,1.0,0.7,0.1,0.8,0.5,0.2,0.2
100026,Mechanism+of+triphenylmethane+dye+biodegradation_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
100027,Enhanced+decolorization+and+biodegradationof+textile+azo+dye+Scarlet+R+by+using+developed+microbial+consortium+-GR_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100028,Treatment+of+a+mixture+of+three+pesticides+by+photo-+and+electro-Fenton+processes_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9
100029,Water+and+Wastewater+Calculations+Manual_.txt,processed,0.8,0.9,1.0,0.3,0.1,0.7,0.4,0.2,0.3
100030,Bio-sorption+of+Heavy+Metals_.txt,processed,0.9,0.1,0.8,0.9,0.9,0.8,0.3,0.2,0.4
100031,Biodecolorization+and+Biodegradation+of+Azo+dyes+by+Some+Bacterial+isolates_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100032,Degradation+of+dyes+by+white+rot+fungi_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100033,Anaerobic+decolorization+bacteria+for+the+treatment+of+azo+dye+in+a+sequential+anaerobic+and+aerobic+membrane+bioreactor_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100034,Color+removal+from+textile+plant+effluents_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100035,Biochemical+and+molecular+characterization+of+an+azoreductase+from+Staphylococcus+aures%2C+a+tetrameric+NADPH-dependent+flavoprotein_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0
100036,Biodegradation+of+crystal+violet+by+Bacillus+subtilis_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0
100037,Effects+of+Bubble+Coalescence+and+Breakup+Models+on+the+Simulation+of+Bubble+Columns_.txt,processed,1.0,1.0,1.0,0.3,0.2,0.2,0.2,0.2,0.1
100038,Applications+of+artificial+intelligence+for+chemical+inference.+III.+Aliphatic+ethers+diagnosed+by+their+low-resolution+mass+spectra+and+nuclear+magnetic+resonance+data_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100039,Simultaneous+Biodegradation+and+Adsorption+of+Textile+Dyestuff+in+an+Activated+Sludge+Unit_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100040,Impacts+of+different+media+on+constructed+wetlands+for+rural+household+sewage+treatment_.txt,processed,1.0,1.0,1.0,0.8,0.8,0.7,0.9,0.9,0.9
100041,MnCl2+and+MgCl2+for+the+removal+of+reactive+dye+Levafix+Brilliant+Blue+EBRA+from+synthetic+textile+wastewaters%3A+an+adsorption%2Faggregation+mechanism_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100042,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100043,A+successful+experience+with+the+flipped+classroom+in+the+Transport+Phenomena+course_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100044,The+modified+Fenton+process+for+decolorization+of+dye+wastewater_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100045,The+use+of+a+charge-coupled+device+for+quantitative+optical+microscopy+of+biological+structures_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100046,Introduction.+The+diatoms+of+the+United+States_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100047,Shear+Rate+and+Cell+Damage+in+Bioreactors_.txt,processed,0.2,0.1,0.1,0.5,0.4,0.3,0.2,0.2,0.3
100048,The+Physiology+and+Biochemistry+of+Prokaryotes_.txt,processed,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1
100049,Discoloration+of+aqueous+reactive+dye+solutions+in+the+UV%2FFe0+system_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0.9,0.9
100050,Mutagenic+and+carcinogenic+potential+of+a+textile+azo+dye+processing+plant+effluent_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.8,0.9,0.9,0.8
100051,Serotonin+syndrome+as+a+result+of+fluoxetine+in+a+patient+with+tramadol+abuse%3A+plasma+level-correlated+symptomatology_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100052,Proposal+for+a+common+nomenclature+for+sequence+ions+in+mass+spectra+of+peptides_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100053,Cross-Linking+of+Technical+Lignin+via+Esterification+and+Thermally+Initiated+Free+Radical+Reaction_.txt,processed,0.2,0.3,0.1,0.2,0.1,0.2,0.1,0.2,0.4
100054,Effect+of+potentially+probiotic+lactobacilli+on+faecal+enzyme+activity+in+minipigs+on+a+high-fat%2C+high-cholesterol+diet+%E2%80%93a+preliminary+in+vivo+trial_.txt,processed,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.1
100055,Use+of+sublingual+olanzapine+in+serotonin+syndrome_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
100056,Comparison+of+electrocoagulation+and+chemical+coagulation+processes+in+removing+Reactive+red+196+from+aqueous+solution_.txt,processed,1.0,1.0,1.0,0.8,0.9,0.7,0.9,0.9,0.9
100057,Tumor+promotion+by+metanil+yellow+and+malachite+green_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100058,On+the+role%28s%29+of+additives+in+bioinspired+silicification_.txt,processed,0.3,0.4,0.1,0.2,0.3,0.2,0.2,0.2,0.3
100059,Bacterial+decolorization+and+degradation+of+azo+dyes_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100060,Equilibrium%2C+kinetics+and+thermodynamic+of+Remazol+Brilliant+Orange+3R+dye+adsorption+on+coffee+husk-based+activated+carbon_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100061,Continuous+treatment+of+textile+water+by+ozonation+and+coagulation_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,0.9,1.0,1.0
100062,Effect+of+tween+20+and+tween+80+on+enzyme+production+in+bacteria_.txt,processed,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1
100063,Methylmalonyl+CoA+mutase+handbook+of+metalloproteins_.txt,processed,0.1,0.1,0.5,0.2,0.2,0.2,0.1,0.2,0.1
100064,Agroscope+FAL_.txt,processed,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.2,0.1
100065,Long-term+microplastic+retention+causes+reduced+body+condition+in+the+langoustine%2C+Nephrops+norvegicus_.txt,processed,0.8,1.0,0.8,0.3,0.3,0.3,0.2,0.3,0.3
100066,Laccase+Production+in+White+Rot+Fungi_.txt,processed,0.8,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9
100067,Transformation+of+Manganese+Oxides+by+Organic+Constituents+in+Natural+and+Laboratory+Systems_.txt,processed,1.0,0.9,1.0,0.1,0.4,0.4,0.8,0.5,0.8
100068,Empirical+bayes+analysis+of+a+microarray+experiment_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
100069,Serotonin+syndrome%3A+potentially+fatal+but+difficult+to+recognize_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
100070,Decolorization+and+biodegradation+of+methyl+red+by+Klebsiella+pneumoniae+RS-13_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100071,The+taxonomy%2C+ecology+and+cultivation+of+bacterial+genera+belonging+to+the+family+Flavobacteriaceae_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
100072,Removal+of+p-chlorophenol+by+the+marine+microalga+Tetraselmis+suecica_.txt,processed,1.0,0.9,1.0,0.8,0.8,0.8,0.9,0.8,0.8
100073,Oxidation+kinetics+of+Fenton%E2%80%99s+process+in+dye+degradation_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100074,Some+properties+of+a+granular+activated+carbon-sequencing+batch+reactor+%28GAC-SBR%29+system+for+treatment+of+textile+wastewater+containing+direct+dyes_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9
100075,Anion+exchange+resins+for+removal+of+reactive+dyes+from+textile+wastewaters_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100076,Nitrate+has+a+low+impact+on+performance+parameters+and+health+status+of+on-growing+European+sea+bass+%28Dicentrarchus+labrax%29+reared+in+RAS_.txt,processed,1.0,1.0,1.0,0.8,0.9,0.9,0.8,0.1,0.8
100077,Effect+of+Some+Operational+Parameters+on+Textile+Dye+Biodegradation+in+a+Sequential+Batch+Reactor_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100078,Simultaneous+measurement+of+two+enzyme+activities+using+infrared+spectroscopy%3A+a+comparative+evaluation+of+PARAFAC%2C+TUCKER+and+N-PLS+modeling_.txt,processed,0.5,0.5,1.0,0.2,0.2,0.2,0.3,0.3,0.4
100079,Heterotrophic+cultures+of+microalgae%3A+metabolism+and+potential+products_.txt,processed,0.8,0.8,1.0,0.9,0.8,0.7,0.5,0.9,0.6
100080,Colour+in+textile+effluents%2C+Sources%2C+measurements%2C+discharge+consents+and+simulation%3A+a+review_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100081,Antidepressants%3A+clinically+relevant+drug+interactions+to+be+considered_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100082,Eco-friendly+biodegradation+and+detoxification+of+Reactive+Red+2+textile+dye+by+newly+isolated+Pseudomonas+sp.+SUK1_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100083,Ability+of+natural+bacterial+isolates+to+metabolize+high+and+low+molecular+weight+lignin-derived+molecules_.txt,processed,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.3,0.2
100084,Degradation+of+substituted+phenols+by+purified+laccase+and+laccase-producing+microorganisms_.txt,processed,1.0,1.0,1.0,0.9,0.7,0.8,0.8,0.8,0.8
100085,The+shikimate+pathway%3A+early+steps+in+the+biosynthesis+of+aromatic+compounds_.txt,processed,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.1,0.2
100086,On+the+biodegradation+of+poly-beta-hydroxybutyrate+homopolymer+and+poly+beta-hydroxybutyrate%E2%80%93hydroxyvalerate+copolymers_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100087,Bubble+properties+and+local+liquid+velocity+in+the+radial+direction+of+cocurrent+gas%E2%80%94liquid+flow_.txt,processed,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.2,0.1
100088,Brain+and+body+temperature+homeostasis+during+sodium+pentobarbital+anesthesia+with+and+without+body+warming+in+rats_.txt,processed,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1
100089,Biofilm+and+granular+systems+to+improve+Anammox+biomass+retention_.txt,processed,0.1,0.1,0.1,0.4,0.3,0.3,0.2,0.1,0.2
100090,Diversity+of+benthic+microalgae+in+response+to+colonization+time_.txt,processed,0.2,0.3,0.6,0.4,0.2,0.3,0.2,0.2,0.3
100091,Nitrate+Toxicity+on+Visceral+Organs+of+Medaka+Fish%2C+Oryzias+latipes_.txt,processed,0.1,0.5,0.1,0.3,0.3,0.3,0.1,0.1,0.1
100092,Molecular+basis+of+the+catalytic+differences+among+DT-diaphorase+of+human%2C+rat%2C+and..._.txt,processed,0.3,0.9,1.0,0.2,0.2,0.2,0.4,0.1,0.2
100093,Design+of+Multiphase+Reactors_.txt,processed,0.1,0.2,0.1,0.2,0.3,0.3,0.1,0.2,0.1
100094,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100095,Evaluation+of+ALRs+in+Bioremediation+of+Phenolic+Effluents_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9
100096,Genital+powder+exposure+and+the+risk+of+epithelial+ovarian+cancer_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
100097,Mutagenicity+and+possible+carcinogenicity+of+hair+colourants+and+constituents_.txt,processed,0.1,0.4,0.1,0.3,0.3,0.4,0.3,0.8,0.8
100098,Industrial+Environment%3A+Assessment+and+strategy_.txt,processed,0.3,0.3,0.8,0.3,0.3,0.2,0.2,0.2,0.1
100099,Design%2C+synthesis+and+biological+evaluation+of+6+-aminopurine+analogues+as+potential+xanthine+oxidase+inhibitors_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100100,Photodegradation+of+BTX+mixture+in+aqueous+phase+by+using+ZnO+photocatalyst_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100101,Biosensor+using+immobilized+Chlorella+microalgae+for+determination+of+volatile+organic+compounds_.txt,processed,0.2,0.5,0.1,0.3,0.3,0.3,0.2,0.2,0.2
100102,Serotonin+syndrome+in+a+child+associated+with+erythromycin+and+sertraline_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
100103,Metabolic+acidosis+in+restraint-associated+cardiac+arrest%3A+a+case+series_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
100104,A+New+Alkali-Thermostable+Azoreductase+from+Bacillus+sp.+Strain+SF_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100105,Dyes+decolorized+by+combined+SQ1CV+clones_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100106,Neural+tissue+engineering%3A+strategies+for+repair+and+regeneration_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100107,14%CE%B1-Hydroxylation+of+androst-4-en-3%2C17-dione+by+the+whole+cell+of+cyanobacterium+Nostoc+piscinale_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.8,0.7,0.8,0.8
100108,Immobilized+microalga+Scenedesmus+quadricauda+for+long-term+storage_.txt,processed,0.9,0.8,0.1,0.4,0.8,0.7,0.3,0.6,0.5
100109,Studies+on+the+optimization+of+carbonyl+reductase+production+by+Geotrichumcandidum+%3A+application+in+the+synthesis+of+%28S%29+-%28-%29-1-%281%E2%80%99-Naphthyl%29+ethanol+from+1+-acetonaphthone_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0.9,0.9
100110,Fermentationn+optimization+for+the+production+of+poly%28+%CE%B2-hydroxybutyric+acid%29+microbial+thermoplastic_.txt,processed,1.0,0.1,0.1,0.2,0.4,0.2,0.5,0.1,0.1
100111,Silver-modified+titanium+dioxide+thin+films+for+efficient+photodegradation+of+methyl+orange_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,0.9
100112,Determination+of+Diffuser+Bubble+Size+in+Computational+Fluid+Dynamics+Models_.txt,processed,0.2,0.2,0.8,0.8,0.4,0.3,0.2,0.6,0.1
100113,Operational+optimization+of+batchwise+nutrient+removal+from+wastewater+by+carrageenan+immobilized+Chlorella+vulgaris_.txt,processed,1.0,1.0,1.0,0.9,0.8,0.9,0.9,0.8,0.9
100114,Randomized+study+of+intravenous+valproate+and+phenytoin+in+status+epilepticus_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
100115,Sorption+of+Dyes+from+Aqueous+Solutions+onto+Fly+Ash_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100116,Sorption+of+reactive+dyes+by+Aeromonas+biomass_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100117,Neurologic+effects+of+tryptophan+in+patients+receiving+a+monoamine+oxidase+inhibitor_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100118,Impact+of+pH+on+dye+degradation+using+Fenton%E2%80%99s+process_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100119,Role+of+the+N-terminal+polycystic+kidney+domain+in+chitin+degradation+by+chitinase+A+from+a+marine+bacterium%2C+Alteromonas+sp.+Strain+O-7_.txt,processed,0.5,0.9,0.8,0.3,0.2,0.2,0.3,0.3,0.5
100120,Removal+of+azo+and+anthraquinone+reactive+dyes+from+industrial+waste+waters+using+MgO+nanoparticles_.txt,processed,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.4,0.4
100121,Decolorization+and+biodegradation+of+Methyl+Red+by+Klebsiella+pneumoniae+RS-13_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100122,Bioaugmentation+of+bromoamine+acid+degradation+with+Sphingomonas+xenophaga+QYY+and+DNA+fingerprint+analysis+of+augmented+systems_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100123,Biodegradation+of+reactive+red+195+azo+dye+by+the+bacterium+Rhodopseudomonas+palustris+51ATA_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100124,Characterization+of+rubber+degrading+isolates_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100125,Adsorption+kinetics+and+column+operations+for+the+removal+and+recovery+of+malachite+green+from+wastewater_2004.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,1.0
100126,Studies+on+the+free+and+immobilized+whole+cells+of+Rhodococcus+erythropolis+for+the+production+of+pharmaceutically+important+amides_.txt,processed,1.0,0.9,1.0,0.9,0.8,0.8,0.9,1.0,1.0
100127,Effect+of+chloride+and+sulfate+ions+on+the+advanced+photo+Fenton+and+modified+photo+Fenton+degradation+process+of+Alizarin+Red+S_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100128,Trends+in+color+removal+from+textile+mill+effluents_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100129,Effect+of+alloying+elements+on+microstructure+and+properties+of+multiprincipal+elements+high-entropy+alloys_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100130,Fed+Batch+Experiment+for+Laccase+Production_.txt,processed,1.0,1.0,0.8,0.9,0.9,0.9,0.9,0.9,0.9
100131,Case-based+reasoning%3A+Experiences%2C+lessons+and+future+directions_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
100132,Decolorization+of+triphenylmethane%2C+azo+and+anthraquinone+dyes..._.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100133,Biodegradation+of+Turquoise+Blue+Dye+by+Bacillus+megaterium+isolated+from+industrial+Effluent_.txt,processed,0.9,1.0,1.0,0.9,0.9,1.0,0.9,0.9,1.0
100134,Decolorization+of+the+azo+dye+Reactive+Black+5+by+Fenton+and+photo-Fenton+oxidation_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100135,Mutagenicity+of+different+textile+dye+products_.txt,processed,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.6
100136,Fungal+mediated+decolorization+of+media+containing+procion+dyes_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100137,Biodegradation+of+synthetic+dyes+by+Pseudomonas+putida_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100138,Cleavage+of+Structural+Proteins+during+the+Assembly+of+the+Head_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
100139,Geogenic+contaminants+in+groundwater+resources+of+Amazonian+riverine+communities%3A+results+of+a+vast+exploratory+field-study_.txt,processed,0.1,0.1,0.1,0.3,0.3,0.4,0.2,0.1,0.1
100140,Multivariate+SPC+charts+for+monitoring+batch+processes_.txt,processed,0.1,0.1,0.5,0.2,0.2,0.3,0.1,0.1,0.1
100141,Transformation+of+Nano+Zero-Valent+Iron+during+Oxidation+Process+using+Persulfate_.txt,processed,1.0,0.9,0.8,0.9,0.2,0.9,0.8,0.9,0.9
100142,The+prediction+of+sorption+from+a+binary+mixture+of+acidic+dyes+using+single-and+mixed-isotherm+variants+of+the+ideal+adsorbed+solute+theory_.txt,processed,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
100143,The+Libby+Zion+case%3A+one+step+forward+or+two+steps+backward%3F_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100144,Toxicological+effect+of+indole+and+its+azo+dye+derivatives+on+some+microorganisms+under+aerobic+conditions_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100145,Studies+of+adsorptive+interaction+between+Aspergillus+niger+and+the+reactive+azo+dye+procion+blue+MX-G_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100146,FbiC+gene+involvement+in+triphenylmethane+dye+decolorization_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9
100147,Reduction+of+azo+dyes+during+in+vitro+percutaneous+absorption_.txt,processed,1.0,0.9,1.0,0.8,0.9,0.9,0.3,0.7,0.6
100148,Cancer+Risk+Assessment+of+Azo+Dyes+and+Aromatic+Amines_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100149,The+significance+of+azo-reduction+in+the+mutagenesis+and+carcinogenesis+of+azo+dyes_.txt,processed,1.0,1.0,1.0,0.9,0.8,0.9,0.7,0.2,0.8
100150,Propofol+treatment+of+refractory+status+epilepticus%3A+a+study+of+31+episodes_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
100151,Reactor+Performance+in+Airlift+Reactors_.txt,processed,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0
100152,Biodegradation+and+decolorization+of+acid+red+by+Acinetobacter+radioresistens_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100153,Evaluation+of+new+2%2C2%E2%80%B2-dimethyl-5%2C5%E2%80%B2-dipropoxybenzidine-+and+3%2C3%E2%80%B2-dipropoxybenzidine-based+direct+dye+analogs_.txt,processed,0.8,1.0,0.9,1.0,1.0,0.9,0.8,0.8,0.9
