id,filename,baseline_newexpt_1_score,baseline_newexpt_2_score,baseline_newexpt_3_score,few_shot_newexpt_1_score,few_shot_newexpt_2_score,few_shot_newexpt_3_score,cot_newexpt_1_score,cot_newexpt_2_score,cot_newexpt_3_score
100094,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,10,10,10,9,9,9,10,10,10
100095,Evaluation+of+ALRs+in+Bioremediation+of+Phenolic+Effluents_.txt,10,10,10,9,9,9,10,10,9
100096,Genital+powder+exposure+and+the+risk+of+epithelial+ovarian+cancer_.txt,9,9,10,5,1,1,8,9,8
100097,Mutagenicity+and+possible+carcinogenicity+of+hair+colourants+and+constituents_.txt,10,10,10,9,9,9,10,10,10
100098,Industrial+Environment%3A+Assessment+and+strategy_.txt,1,8,1,2,2,2,2,1,2
100099,Design%2C+synthesis+and+biological+evaluation+of+6+-aminopurine+analogues+as+potential+xanthine+oxidase+inhibitors_.txt,1,1,1,1,2,1,1,1,1
100100,Photodegradation+of+BTX+mixture+in+aqueous+phase+by+using+ZnO+photocatalyst_.txt,10,10,10,9,9,9,10,10,10
100101,Biosensor+using+immobilized+Chlorella+microalgae+for+determination+of+volatile+organic+compounds_.txt,9,10,10,9,9,9,10,8,9
100102,Serotonin+syndrome+in+a+child+associated+with+erythromycin+and+sertraline_.txt,1,3,2,3,2,4,1,3,2
100103,Metabolic+acidosis+in+restraint-associated+cardiac+arrest%3A+a+case+series_.txt,10,10,10,9,9,9,10,10,10
100104,A+New+Alkali-Thermostable+Azoreductase+from+Bacillus+sp.+Strain+SF_.txt,10,10,10,9,10,10,10,10,10
100105,Dyes+decolorized+by+combined+SQ1CV+clones_.txt,10,10,10,9,9,9,10,10,10
100106,Neural+tissue+engineering%3A+strategies+for+repair+and+regeneration_.txt,10,10,10,9,10,9,1,10,8
100107,14%CE%B1-Hydroxylation+of+androst-4-en-3%2C17-dione+by+the+whole+cell+of+cyanobacterium+Nostoc+piscinale_.txt,10,10,10,9,9,9,10,10,10
100108,Immobilized+microalga+Scenedesmus+quadricauda+for+long-term+storage_.txt,10,10,10,9,9,9,10,9,10
100109,Studies+on+the+optimization+of+carbonyl+reductase+production+by+Geotrichumcandidum+%3A+application+in+the+synthesis+of+%28S%29+-%28-%29-1-%281%E2%80%99-Naphthyl%29+ethanol+from+1+-acetonaphthone_.txt,10,10,10,10,10,10,10,10,10
100110,Fermentationn+optimization+for+the+production+of+poly%28+%CE%B2-hydroxybutyric+acid%29+microbial+thermoplastic_.txt,9,10,10,9,9,9,9,10,10
100111,Silver-modified+titanium+dioxide+thin+films+for+efficient+photodegradation+of+methyl+orange_.txt,10,10,9,9,9,9,9,9,9
100112,Determination+of+Diffuser+Bubble+Size+in+Computational+Fluid+Dynamics+Models_.txt,10,8,10,2,2,9,9,8,10
100113,Operational+optimization+of+batchwise+nutrient+removal+from+wastewater+by+carrageenan+immobilized+Chlorella+vulgaris_.txt,9,10,9,9,9,9,10,10,9
100114,Randomized+study+of+intravenous+valproate+and+phenytoin+in+status+epilepticus_.txt,3,3,3,3,4,2,8,5,8
100115,Sorption+of+Dyes+from+Aqueous+Solutions+onto+Fly+Ash_.txt,10,10,9,9,9,9,10,10,10
100116,Sorption+of+reactive+dyes+by+Aeromonas+biomass_.txt,1,1,1,2,2,2,2,3,2
100117,Neurologic+effects+of+tryptophan+in+patients+receiving+a+monoamine+oxidase+inhibitor_.txt,10,8,9,8,8,9,9,9,9
100118,Impact+of+pH+on+dye+degradation+using+Fenton%E2%80%99s+process_.txt,10,10,10,9,9,9,10,10,9
100119,Role+of+the+N-terminal+polycystic+kidney+domain+in+chitin+degradation+by+chitinase+A+from+a+marine+bacterium%2C+Alteromonas+sp.+Strain+O-7_.txt,10,10,10,9,9,9,10,9,10
100120,Removal+of+azo+and+anthraquinone+reactive+dyes+from+industrial+waste+waters+using+MgO+nanoparticles_.txt,1,1,1,1,1,1,1,1,1
100121,Decolorization+and+biodegradation+of+Methyl+Red+by+Klebsiella+pneumoniae+RS-13_.txt,10,10,10,9,9,9,10,10,10
100122,Bioaugmentation+of+bromoamine+acid+degradation+with+Sphingomonas+xenophaga+QYY+and+DNA+fingerprint+analysis+of+augmented+systems_.txt,10,10,10,9,10,9,10,10,10
100123,Biodegradation+of+reactive+red+195+azo+dye+by+the+bacterium+Rhodopseudomonas+palustris+51ATA_.txt,10,10,10,9,9,9,10,10,10
100124,Characterization+of+rubber+degrading+isolates_.txt,10,10,10,9,9,9,10,10,9
100125,Adsorption+kinetics+and+column+operations+for+the+removal+and+recovery+of+malachite+green+from+wastewater_2004.txt,10,10,10,9,9,10,10,10,10
100126,Studies+on+the+free+and+immobilized+whole+cells+of+Rhodococcus+erythropolis+for+the+production+of+pharmaceutically+important+amides_.txt,10,10,10,9,10,10,9,10,10
100127,Effect+of+chloride+and+sulfate+ions+on+the+advanced+photo+Fenton+and+modified+photo+Fenton+degradation+process+of+Alizarin+Red+S_.txt,9,9,10,9,9,9,10,10,10
100128,Trends+in+color+removal+from+textile+mill+effluents_.txt,1,1,1,2,2,2,3,2,1
100129,Effect+of+alloying+elements+on+microstructure+and+properties+of+multiprincipal+elements+high-entropy+alloys_.txt,10,10,10,9,9,9,10,9,9
100130,Fed+Batch+Experiment+for+Laccase+Production_.txt,10,10,10,9,9,10,10,10,10
100131,Case-based+reasoning%3A+Experiences%2C+lessons+and+future+directions_.txt,8,8,5,2,3,2,3,2,3
100132,Decolorization+of+triphenylmethane%2C+azo+and+anthraquinone+dyes..._.txt,10,10,10,9,9,9,9,9,9
100133,Biodegradation+of+Turquoise+Blue+Dye+by+Bacillus+megaterium+isolated+from+industrial+Effluent_.txt,10,10,8,8,9,9,9,10,9
100134,Decolorization+of+the+azo+dye+Reactive+Black+5+by+Fenton+and+photo-Fenton+oxidation_.txt,10,10,10,9,9,9,10,10,10
100135,Mutagenicity+of+different+textile+dye+products_.txt,10,10,10,9,9,9,9,10,9
100136,Fungal+mediated+decolorization+of+media+containing+procion+dyes_.txt,1,1,1,2,2,2,3,2,2
100137,Biodegradation+of+synthetic+dyes+by+Pseudomonas+putida_.txt,10,10,10,9,9,10,10,10,10
100138,Cleavage+of+Structural+Proteins+during+the+Assembly+of+the+Head_.txt,1,1,1,1,1,2,1,1,1
100139,Geogenic+contaminants+in+groundwater+resources+of+Amazonian+riverine+communities%3A+results+of+a+vast+exploratory+field-study_.txt,9,10,10,9,9,9,9,9,8
100140,Multivariate+SPC+charts+for+monitoring+batch+processes_.txt,10,10,10,8,9,9,9,9,9
100141,Transformation+of+Nano+Zero-Valent+Iron+during+Oxidation+Process+using+Persulfate_.txt,10,10,10,10,9,9,10,10,10
100142,The+prediction+of+sorption+from+a+binary+mixture+of+acidic+dyes+using+single-and+mixed-isotherm+variants+of+the+ideal+adsorbed+solute+theory_.txt,10,10,10,9,9,9,10,10,10
100143,The+Libby+Zion+case%3A+one+step+forward+or+two+steps+backward%3F_.txt,1,1,1,2,2,2,1,1,2
100144,Toxicological+effect+of+indole+and+its+azo+dye+derivatives+on+some+microorganisms+under+aerobic+conditions_.txt,10,10,9,9,9,9,10,10,10
100145,Studies+of+adsorptive+interaction+between+Aspergillus+niger+and+the+reactive+azo+dye+procion+blue+MX-G_.txt,10,10,10,9,9,9,9,10,10
100146,FbiC+gene+involvement+in+triphenylmethane+dye+decolorization_.txt,10,10,10,9,9,9,9,9,9
100147,Reduction+of+azo+dyes+during+in+vitro+percutaneous+absorption_.txt,1,1,1,2,2,2,2,2,2
100148,Cancer+Risk+Assessment+of+Azo+Dyes+and+Aromatic+Amines_.txt,1,1,1,2,1,1,5,1,1
100149,The+significance+of+azo-reduction+in+the+mutagenesis+and+carcinogenesis+of+azo+dyes_.txt,1,1,1,2,2,2,2,2,2
100150,Propofol+treatment+of+refractory+status+epilepticus%3A+a+study+of+31+episodes_.txt,1,1,1,2,2,2,2,3,2
100151,Reactor+Performance+in+Airlift+Reactors_.txt,10,10,10,9,9,9,10,9,10
100152,Biodegradation+and+decolorization+of+acid+red+by+Acinetobacter+radioresistens_.txt,10,10,10,9,9,9,10,10,10
100153,Evaluation+of+new+2%2C2%E2%80%B2-dimethyl-5%2C5%E2%80%B2-dipropoxybenzidine-+and+3%2C3%E2%80%B2-dipropoxybenzidine-based+direct+dye+analogs_.txt,1,1,1,2,2,2,1,1,2
100154,Fenton+and+biological-Fenton+coupled+processes+for+textile+wastewater+treatment+and+reuse_.txt,10,10,10,9,9,9,10,10,10
100155,Mechanistic+study+of+a+diazo+dye+degradation+by+Soybean+Peroxidase_.txt,10,10,10,9,9,9,10,10,10
100156,Formation+of+simple+crystal+structures+in+Cu-Co-Ni-Cr-Al-Fe-Ti-V+alloys+with+multiprincipal+metallic+elements_.txt,9,9,10,9,9,10,8,8,9
100157,Strategies+for+fermentation+medium+optimization%3A+An+in-depth+review_.txt,1,1,1,2,2,2,1,2,2
100158,Seltene+und+neue+Kieselalgen_.txt,10,10,10,9,9,9,10,9,9
100159,Diatoms+of+Yunchun+Dam+reservoir+and+its+tributaries%2C+Kyung+Pook+Prefecture%2C+Korea_.txt,10,8,10,9,9,9,9,10,8
100160,Biodegradation+of+azo+dyes+in+a+sequential+anaerobic-aerobic+system_.txt,10,10,10,9,9,9,10,10,10
100161,Development+of+an+efficient+recombinant+bacterium+and+its+application+in+the+degradation+of+environmentally+hazardous+azo+dyes_.txt,10,10,9,9,9,9,9,10,9
100162,DNS+Method+for+Glucose+Determination_.txt,10,3,9,3,2,8,8,8,9
100163,The+relationship+between+microstructure+and+mode+of+fracture+in+polyhydroxybutyrate_.txt,10,10,10,9,9,9,10,10,9
100164,Photocatalytic+decolorization+of+wastewater+dyes_.txt,1,1,1,2,2,2,8,2,2
100165,Photodegradation+of+azo+pyridine+dye+using+TiO2+films+prepared+by+the+spray+pyrolysis+method_.txt,10,10,10,9,9,9,10,9,9
100166,Microplastic+particles+in+sediments+of+Lagoon+of+Venice%2C+Italy%3A+First+observations+on+occurrence%2C+spatial+patterns+and+identification_.txt,1,1,1,2,2,2,1,2,3
100167,Adsorption+of+bisphenol+from+industrial+wastewater+by+modified+red+mud_.txt,10,10,10,10,9,9,10,10,10
100168,Degradation+of+crystal+violet+by+Nocardia+corallina_.txt,10,10,10,9,9,9,10,10,10
100169,Evolutionary+domain+fusion+expanded+the+substrate+specificity+of..._.txt,9,10,9,8,9,8,8,7,8
100170,Short-chain+fatty+acids+protect+gnotobiotic+Artemia+franciscana+from+pathogenic+Vibrio+campbellii_.txt,10,10,10,9,9,9,10,9,10
100171,Environmental+Pollution_.txt,1,1,1,2,2,2,1,1,1
100172,Decolorization+of+textile+dyes+by+white-rot+fungi_.txt,10,10,10,9,9,9,10,10,10
100173,Adsorption+kinetics+and+column+operations+for+the+removal+and+recovery+of+malachite+green+from+wastewater+using+bottom+ash_.txt,10,10,10,9,9,9,10,10,10
100174,Abalone+mariculture+in+China_.txt,10,10,10,9,9,9,10,10,10
100175,Cloning+of+genes+coding+for+L-sorbose+and+L-sorbosone+dehydrogenases..._.txt,1,1,1,2,2,2,1,1,1
100176,Formaldehyde+and+hexamethylenetetramine+in+Styles%E2%80%99+cell+transformation+assay_.txt,1,1,1,2,2,2,1,1,2
100177,Co-administration+of+MDMA+with+drugs+that+protect+against+MDMA+neurotoxicity+produces+different+effects+on+body+temperature+in+the+rat_.txt,10,10,10,9,9,9,10,10,10
100178,Removal+of+azo+and+anthraquinone+reactive+dyes+from+industrial+wastewaters+using+MgO+nanoparticles_.txt,1,1,1,2,1,1,1,1,1
100179,Synthesis%2C+biological+evaluation+and+physicochemical+parameter+studies+of+imidazo%5B1%2C2-a%5Dpyrazinederivatives+as+potential+topoisomerase+inhibitors_.txt,10,9,10,9,9,8,10,10,10
100180,Overall+evaluations+of+carcinogenicity%3A+an+updating+of+IARC+Monographs+volumes+1+to+42_.txt,1,1,1,2,2,2,3,5,3
100181,Role+of+reductase-related+protein+in+dye+decolorization_.txt,10,10,10,9,9,9,10,10,10
100182,Kinetics+of+bacterial+decolorization+of+azo+dyes+with+Escherichia+coli+NO3_.txt,10,10,10,9,9,9,10,10,10
100183,Bioreductive+activation+of+a+series+of+indolequinones+by+human+DT-diaphorase%3A+structure-activity+relationships_.txt,1,1,2,2,2,2,1,2,3
100184,Anaerobic+sequencing+batch+reactors+in+pilot-scale+for+domestic+sewage+treatment_.txt,3,2,9,3,3,2,8,8,9
100185,Fungal+Laccase+Grafts+Acrylamide+onto+Lignin+in+Presence+of+Peroxides_.txt,9,8,9,9,9,8,8,8,9
100186,Biological+oxidations+of+organic+compounds+by+enzymes+from+a+white+rot+fungus_.txt,10,10,10,9,9,9,10,9,9
100187,The+Trypanosoma+brucei+cytoskeleton%3A+ultrastructure+and+localization+of+microtubule-associated+and+spectrin-like+proteins+using+quick-freeze%2C+deep-etch%2C+immunogold+electron+microscopy_.txt,10,10,10,9,9,9,10,10,10
100188,Induction+of+papillary+adenocarcinoma+of+thyroid+in+albino+mice+by+saccharin+feeding_.txt,1,1,1,2,8,2,8,8,8
100189,Waste+Brick+as+Constructed+Wetland+Fillers+to+Treat+the+Tail+Water+of+Sewage+Treatment+Plant_.txt,10,10,10,9,9,9,10,10,10
100190,Studies+on+the+isolation%2C+screening+and+characterization+of+a+novel+xylanase+producing+organism+and+its+application+in+food+processing_.txt,10,10,10,10,10,9,10,10,10
100191,Adsorption%E2%80%93desorption+of+tetracycline+onto+molecularly+imprinted+polymer%3A+isotherm%2C+kinetics%2C+and+thermodynamics+studies_.txt,10,10,10,9,9,9,10,10,9
100192,Effect+of+Aeration+Rate+on+Oxygen+Transfer+Rate+%28OTR%29_.txt,1,1,1,2,2,2,1,1,1
100193,A+simple%2C+fast%2C+and+accurate+algorithm+to+estimate+large+phylogenies+by+maximum+likelihood_.txt,10,10,10,9,9,9,9,10,9
100194,Treatment+of+Landfill+Leachate+by+using+Electro-Fenton+method_.txt,10,10,10,9,9,9,10,10,10
100195,Thiopental+and+pentobarbital+in+the+treatment+of+refractory+generalized+status+epilepticus_.txt,1,1,1,2,2,2,1,1,1
100196,Photocatalytic+degradation+of+azo+dyes+catalyzed+by+Ag+doped+TiO2+Photocatalyst_.txt,1,1,1,2,2,2,5,1,2
100197,Oxidative+Biodegradation+of+an+Anthraquinone+Dye%2CPigment+Violet+12%2C+by+Coriolus+versicolor_.txt,10,10,10,9,9,9,9,10,10
100198,Potential+of+bacteria+for+biological+decolorization+and+degradation+of+synthetic+dyes..._.txt,10,10,10,9,9,9,10,10,10
100199,Evolutionary+trees+from+DNA+sequences%3A+a+maximum+likelihood+approach_.txt,1,1,1,2,2,2,1,1,1
100200,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,10,10,10,9,9,9,10,10,10
