temperature,duration,pH,source_file,type_of_dye,type_of_fungi,concentration_of_dye,concentration_of_fungi,method_of_agitation,decolorization_result,additional_information,fungal_form
30 °C,4 h,6.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Pseudomonas aeruginosa,100 mg/L,,Agitation (150 rpm),91%,,whole fungi
30 °C,4 h,6.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Pseudomonas aeruginosa,100 mg/L,,Static,87%,,whole fungi
40 °C,6 h,6.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Pseudomonas aeruginosa,50 mg/L,,Static,72%,,whole fungi
20 °C,4 h,6.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Pseudomonas aeruginosa,50 mg/L,,Agitation (150 rpm),Inconsistent with temperature changes,,whole fungi
20 °C,4 h,6.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Pseudomonas aeruginosa,50 mg/L,,Static,Inconsistent with temperature changes,,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,Orange II,Pleurotus ostreatus,100 ppm,,shaking,90%,ANOVA p-value: 4.44E-05 indicates significant effect of buffer concentration.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,Acid Red 29,Pleurotus ostreatus,100 ppm,,shaking,Significant decolorization achieved under optimum buffer concentration.,ANOVA p-value: 1.41E-06 indicates significant effect of buffer concentration.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,Remazol Brilliant Blue R,Pleurotus ostreatus,100 ppm,,shaking,Substantial decolorization observed.,ANOVA p-value indicates significant influence of buffer concentration.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,Disperse Red 1,Pleurotus ostreatus,50 ppm,,shaking,Not specified,"Primary products identified: nitrobenzene, 4-nitrophenol, 4-nitroaniline.",whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,Disperse Red 1,Pleurotus ostreatus,100 ppm,,shaking,Not specified,Production of 4-nitrophenol observed.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,Disperse Red 1,Pleurotus ostreatus,200 ppm,,shaking,Not specified,Lower production of degradation products compared to lower concentrations.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,4-nitrophenol,Pleurotus ostreatus,25 ppm,,shaking,90% after 5 days.,Secondary degradation products included: 4-nitroanisole.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,4-nitrophenol,Pleurotus ostreatus,50 ppm,,shaking,Not specified,Increased production of 4-nitroanisole.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,4-nitrophenol,Pleurotus ostreatus,100 ppm,,shaking,Negligible degradation.,Highest concentration prevented significant degradation.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,4-nitroaniline,Pleurotus ostreatus,25 ppm,,shaking,40% degradation observed.,Production of nitrobenzene and 4-nitrophenol confirmed.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,4-nitroaniline,Pleurotus ostreatus,50 ppm,,shaking,40% degradation observed.,Nitrobenzene produced during degradation.,whole fungi
30ºC,7 days,5,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.csv,4-nitroaniline,Pleurotus ostreatus,100 ppm,,shaking,20% degradation observed.,Lower degradation efficiency compared to 50 ppm.,whole fungi
room temperature,10 min,7.5,Purification+and+identification+of+an+FMN-dependent+NAD%28P%29H+azoreductase+from+Enterococc.._.csv,Methyl Red,Enterococcus faecalis,0.5 mM,varied (enzyme concentration 1-800 μg),gentle shaking,observed clearing zone,NADH (1 mM) and NADPH (2 mM) were used; specific activity measured,whole fungi
25 °C,2 min,7.2,Purification+and+identification+of+an+FMN-dependent+NAD%28P%29H+azoreductase+from+Enterococc.._.csv,Methyl Red,Enterococcus faecalis,20 μM,varied (enzyme concentration 1-800 μg),n/a (cuvette),reduction measured by absorbance decrease,Vmax and kinetic parameters calculated,whole fungi
30°C,just under 2 days,not specified,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolorization_.csv,amido black,Amycolatopsis orientalis SY6,10 µg/ml,not specified,shaking,distinct color change from blue to violet,,mycelial
not specified,not specified,not specified,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolorization_.csv,crystal violet,Amycolatopsis orientalis SY6,10 µg/ml,not specified,not specified,decolorized to colorless derivatives within an hour,,mycelial
37°C,not specified,not specified,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolorization_.csv,combined triphenylmethane dyes,Amycolatopsis orientalis SY6,10 µg/ml (each),not specified,not specified,complete mineralization,,mycelial
not specified,60 minutes,not specified,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolorization_.csv,crystal violet,Rhodococcus erythropolis SQ1,10 µg/ml,not specified,not specified,undetermined,Thin layer chromatography showed similar band patterns,not specified
not specified,60 minutes,not specified,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolorization_.csv,crystal violet,Mycobacterium smegmatis mc2 155,10 µg/ml,not specified,not specified,undetermined,Thin layer chromatography showed similar band patterns,not specified
37°C,3 days,not specified,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolorization_.csv,crystal violet,"combined clones SlivCV2, SlivCV4, SlivCV6",10 µg/ml,not specified,not specified,complete mineralization,,not specified
not specified,not specified,not specified,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolorization_.csv,amido black,"combined clones SQ1CV2, SQ1CV4, SQ1CV6",10 µg/ml,not specified,not specified,decolorized,,not specified
30°C,5 min,,Cloning+of+triphenylmethane+reductase_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,,static,Visible clearing,Decolorization monitored spectrophotometrically and confirmed on TLC,whole fungi
30°C,10 min,,Cloning+of+triphenylmethane+reductase_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,,static,Visible clearing,TLC showed dramatic decrease in intensity,whole fungi
30°C,20 min,,Cloning+of+triphenylmethane+reductase_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,,static,Visible clearing,Bands observed on TLC,whole fungi
30°C,30 min,,Cloning+of+triphenylmethane+reductase_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,,static,Visible clearing,Lower bands no longer visible at 30 min on TLC,whole fungi
30°C,60 min,,Cloning+of+triphenylmethane+reductase_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,,static,Visible clearing,Noted disappearance of bands on TLC,whole fungi
30°C,under 48 hours,7,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Amido black,Amycolatopsis orientalis,10 µg/ml,high cell density,shaking,observed,Visual observations indicated that the strain struggles to mineralize dye at a concentration of 30 µg/ml.,mycelial
30°C,under 1 hour,7,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Brilliant green,Amycolatopsis orientalis,10 µg/ml,high cell density,shaking,colorless derivative in under an hour,Total decolorization observed quickly.,mycelial
37°C,3 days,7,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Combined triphenylmethane dyes (crystal violet + brilliant green + basic fuchsin + malachite green),Amycolatopsis orientalis,10 µg/ml each,high cell density,shaking,60% decolorization observed,Elimination of other dyes was not significantly affected.,mycelial
37°C,1 hour,7,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Crystal violet,Rhodococcus erythropolis,10 µg/ml,high cell density,shaking,complete mineralization,Similar banding patterns and Rf values compared to Amycolatopsis orientalis.,mycelial
30°C,3 days,7,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Amido black,Rhodococcus erythropolis SQ1,10 µg/ml,high cell density,stationary,not capable,Squ1 does not decolorize amido black.,mycelial
37°C,unspecified,7,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,"Combined SQ1CV clones (amido black, orange II, biebrich scarlet)",Rhodococcus erythropolis SQ1 with pCV clones,10 µg/ml each,high cell density,shaking,decolorization observed,Expression of genes extended decolorization capabilities.,mycelial
25°C,not specified,not specified,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Mixed culture of stains,Amycolatopsis orientalis and Streptomyces coelicolor A3(2),"amaranth, orange II",high cell density,static,dye breakdown observed,Strains capable of breakdown independent of each other.,mycelial
37°C,3 days,7,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Crystal violet,S. lividans (combined),10 µg/ml,high cell density,shaking,decolorization observed,Expressed genes led to improved decolorization of dyes.,mycelial
37°C,unspecified,unspecified,Identification+and+characterization+of+a+gene+responsible+for+amido+black+decolorization+isolated+from+A.+orientalis_.csv,Combined dyes (variety),Mycobacterium smegmatis (combined with CV clones),various concentrations,high cell density,shaking,decolorization of some dyes shown,Induced metabolism for other dyes outside CV reported.,mycelial
37 °C,3 days,4.0–5.0,Biotransformation+of+poly+R-478+by+continuous+cultures+of+PVAL-encapsulated+Trametes+versicolor+under+non-sterile+conditions_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,93.5%,Higher MnP activity (690 U/L) compared to control (125 U/L),mycelium
37 °C,6 days,4.0–5.0,Biotransformation+of+poly+R-478+by+continuous+cultures+of+PVAL-encapsulated+Trametes+versicolor+under+non-sterile+conditions_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,15%,Suspension culture was highly contaminated and growth was poor.,mycelium
37 °C,1 day,4.0–5.0,Biotransformation+of+poly+R-478+by+continuous+cultures+of+PVAL-encapsulated+Trametes+versicolor+under+non-sterile+conditions_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,69%,Immobilized culture showed high decolorization efficiency.,mycelium
37 °C,3 days,4.0–5.0,Biotransformation+of+poly+R-478+by+continuous+cultures+of+PVAL-encapsulated+Trametes+versicolor+under+non-sterile+conditions_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,94%,Decolorization efficiency was high regardless of sterile or non-sterile conditions.,mycelium
37 °C,6 days,varied,Biotransformation+of+poly+R-478+by+continuous+cultures+of+PVAL-encapsulated+Trametes+versicolor+under+non-sterile+conditions_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,shaking,poor (<20%),Suspended culture was infected by bacteria.,mycelium
room temperature,7 days,9.0,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Reactive yellow (4GL),Aspergillus niger D2-1,100 ppm,3 discs (7 mm),shaking,98.62 %,UV-Vis spectrum analysis showed complete disappearance of peaks at ~425 nm,fungal mass
room temperature,7 days,9.0,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Reactive red (4BL),Aspergillus niger D2-1,100 ppm,3 discs (7 mm),shaking,92.42 %,UV-Vis spectrum analysis showed complete disappearance of peaks at ~520 nm,fungal mass
room temperature,6 days,9.0,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Reactive yellow (4GL),Aspergillus niger D2-1,50 ppm,3 discs (7 mm),shaking,67.68 %,,fungal mass
room temperature,6 days,9.0,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Reactive yellow (4GL),Aspergillus niger D2-1,100 ppm,3 discs (7 mm),shaking,42.14 %,,fungal mass
room temperature,6 days,9.0,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Reactive yellow (4GL),Aspergillus niger D2-1,150 ppm,3 discs (7 mm),shaking,10.19 %,,fungal mass
room temperature,6 days,9.0,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Reactive red (4BL),Aspergillus niger D2-1,50 ppm,3 discs (7 mm),shaking,54.84 %,,fungal mass
room temperature,6 days,9.0,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Reactive red (4BL),Aspergillus niger D2-1,100 ppm,3 discs (7 mm),shaking,29.74 %,,fungal mass
Not specified,7 days,Not specified,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.csv,Textile wastewater,Aspergillus niger D2-1,Not specified,3 discs (7 mm),Not specified,59 %,Physico-chemical characteristics of wastewater were analyzed,fungal mass
25 °C,6 days,6.8,Methylene+blue+staining+for+nerve-sparing+operative+procedures%3A+An+animal+model_.csv,Methylene Blue,Desmodesmus sp.,20 mg.L-1,0.25 g.L-1,not specified,98.4%,,whole fungi
25 °C,6 days,6.8,Methylene+blue+staining+for+nerve-sparing+operative+procedures%3A+An+animal+model_.csv,Methylene Blue,Desmodesmus sp.,5 mg.L-1,0.25 g.L-1,not specified,95.7%,,whole fungi
25 °C,4 days,6.8,Methylene+blue+staining+for+nerve-sparing+operative+procedures%3A+An+animal+model_.csv,Malachite Green,Desmodesmus sp.,20 mg.L-1,0.25 g.L-1,not specified,89.1%,,whole fungi
25 °C,8 days,6.8,Methylene+blue+staining+for+nerve-sparing+operative+procedures%3A+An+animal+model_.csv,Malachite Green,Desmodesmus sp.,5 mg.L-1,0.25 g.L-1,not specified,57.4%,,whole fungi
30°C,4 hr,Not specified,Biodegradation+of+acid+blue+113+containing+textile+effluent+by+constructed+aerobic+bacterial+consortia_.csv,Acid Blue 113,Bacterial consortium CN-1,100 mg L^-1,2% (v/v),shaking,91.5%,Mixed in ratio 65:65:20 with Acid Black 24 and Mordant Black 17.,whole fungi
30°C,4 hr,Not specified,Biodegradation+of+acid+blue+113+containing+textile+effluent+by+constructed+aerobic+bacterial+consortia_.csv,Mordant Black 17,Bacterial consortium CN-1,100 mg L^-1,2% (v/v),shaking,91.5%,Mixed in ratio 65:65:20 with Acid Blue 113 and Acid Black 24.,whole fungi
30°C,4 hr,Not specified,Biodegradation+of+acid+blue+113+containing+textile+effluent+by+constructed+aerobic+bacterial+consortia_.csv,Acid Black 24,Bacterial consortium CN-1,100 mg L^-1,2% (v/v),shaking,91.5%,Mixed in ratio 65:65:20 with Acid Blue 113 and Mordant Black 17.,whole fungi
30°C,16 hr,Not specified,Biodegradation+of+acid+blue+113+containing+textile+effluent+by+constructed+aerobic+bacterial+consortia_.csv,Mixed Azo Dyes,Bacterial consortium CN-1,100 mg L^-1,2% (v/v),shaking,decreased gradually from 6.6 mg h^-1 to 4.4 mg h^-1,K value of degradation was 0.085 hr^-1 with R² of 0.982.,whole fungi
30°C,48 hr,Not specified,Biodegradation+of+acid+blue+113+containing+textile+effluent+by+constructed+aerobic+bacterial+consortia_.csv,Mixed Azo Dyes,Bacterial consortium CN-1,100 mg L^-1,2% (v/v),shaking,93.34%, GC-MS analysis showed salicylic acid and 2-naphthol as intermediates.,whole fungi
35 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata,50 mg/L,1e7 cfu/ml,shaking (150 rpm),99%,Compared with uninoculated medium (control) showing no decolorization.,whole fungi
28 °C,7 days,4,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,0%,No clear zone formation.,whole fungi
28 °C,7 days,5,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,0%,No clear zone formation.,whole fungi
28 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,37 mm clear zone,Maximum decolorization achieved.,whole fungi
28 °C,7 days,8,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,25.5 mm clear zone,Moderate decolorization.,whole fungi
20 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,0%,No decolorization observed.,whole fungi
30 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,32 mm clear zone,Suboptimal temperature for decolorization.,whole fungi
40 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,22.5 mm clear zone,Slower decolorization observed.,whole fungi
35 °C,3 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,50 mm clear zone,Decolorization increased over time.,whole fungi
35 °C,5 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,52.5 mm clear zone,Continued increase in decolorization.,whole fungi
35 °C,9 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,63 mm clear zone,Peak decolorization achieved at 7 days.,whole fungi
35 °C,11 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,unspecified,not specified,63 mm clear zone,Same decolorization results as 9 days.,whole fungi
35 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,1%,not specified,32 mm clear zone,Ammonium chloride used.,whole fungi
35 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,2%,not specified,20.5 mm clear zone,Higher concentration leads to less decolorization.,whole fungi
35 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,0.5%,not specified,11 mm clear zone,Lowest concentration tested.,whole fungi
35 °C,7 days,7,Identification+of+genes+required+for+crystal+violet+decolorization+in+Citrobacter+sp.+MY-5_.csv,Crystal violet,Pseudomonas geniculata AT 17,50 mg/L,1%,not specified,32 mm clear zone,Testing nitrogen sources on decolorization efficiency.,whole fungi
30.0,24.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Crystal violet,Kurthia,10,1g/100ml,constant stirring,100%,Complete decolourization occurred within 24 hours.,whole fungi
30.0,48.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Crystal violet,Kurthia,20,1g/100ml,constant stirring,100%,Complete decolourization occurred within 48 hours.,whole fungi
30.0,72.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Crystal violet,Kurthia,30,1g/100ml,constant stirring,98%,Partial decolourization occurred after 72 hours.,whole fungi
30.0,72.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Crystal violet,Kurthia,40,1g/100ml,constant stirring,94%,Partial decolourization occurred after 72 hours.,whole fungi
30.0,24.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Malachite green,Kurthia,10,1g/100ml,constant stirring,100%,Complete decolourization occurred within 24 hours.,whole fungi
30.0,24.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Malachite green,Kurthia,20,1g/100ml,constant stirring,100%,Complete decolourization occurred within 24 hours.,whole fungi
30.0,48.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Malachite green,Kurthia,30,1g/100ml,constant stirring,100%,Complete decolourization occurred within 48 hours.,whole fungi
30.0,48.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Malachite green,Kurthia,40,1g/100ml,constant stirring,98%,Partial decolourization occurred after 48 hours.,whole fungi
30.0,24.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Brilliant green,Kurthia,10,1g/100ml,constant stirring,100%,Complete decolourization occurred within 24 hours.,whole fungi
30.0,24.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Brilliant green,Kurthia,20,1g/100ml,constant stirring,100%,Complete decolourization occurred within 24 hours.,whole fungi
30.0,48.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Brilliant green,Kurthia,30,1g/100ml,constant stirring,100%,Complete decolourization occurred within 48 hours.,whole fungi
30.0,48.0,7.0,Dye+decolorization+by+Kurthia+sp._.csv,Brilliant green,Kurthia,40,1g/100ml,constant stirring,96%,Partial decolourization occurred after 48 hours.,whole fungi
