original_fungi_name,species_name,enzyme_name,EC_number,evidence,notes,source_file
Phanerochaete chrysosporium,,Laccase,EC 1.10.3.2,Performed with 72 Units/L Laccase enzyme.,Includes mediator system / LMCO,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Phanerochaete chrysosporium,,Laccase,EC 1.10.3.2,Performed with 144 Units/L Laccase enzyme.,Includes mediator system / LMCO,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Phanerochaete chrysosporium,,Manganese peroxidase,EC 1.11.1.13,Maximum MnP activity was 75 UI/L at 353 h,,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Phanerochaete chrysosporium,,Manganese peroxidase,EC 1.11.1.13,Maximum MnP activity was 91 UI/L at 257 h,,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt
Phanerochaete chrysosporium,,Manganese peroxidase,EC 1.11.1.13,Higher MnP enzymatic activity compared to suspension culture,,White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt
Phanerochaete chrysosporium,,Manganese peroxidase,EC 1.11.1.13,"Highly contaminated, poor MnP activity",,White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt
Phanerochaete chrysosporium,,Peroxidase (unspecified),EC 1.11.1.7,All tested 2-(4'-sulfophenylazo)-phenol dyes were poor substrates or non-substrates for peroxidases.,,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
Phlebia sp. MG-60,,Manganese peroxidase,EC 1.11.1.13,"At 3% and 5% sea salts, MnP production enhanced during decolorization.",,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt
Pleurotus ostreatus,,Laccase,EC 1.10.3.2,Evaluated the residual compost as a source of crude laccase,Includes mediator system / LMCO,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt
Pleurotus ostreatus,,Laccase,EC 1.10.3.2,Laccase activity was 54.8 ± 8.9 U L-1,Includes mediator system / LMCO,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Pleurotus ostreatus,,Laccase,EC 1.10.3.2,Laccase activity was 54.8 ± 8.9 U L-1,Includes mediator system / LMCO,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Pleurotus ostreatus,,Laccase,EC 1.10.3.2,Laccase activity was 30.6 ± 2.9 U L-1,Includes mediator system / LMCO,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Pleurotus ostreatus,,Laccase,EC 1.10.3.2,Laccase activity was 30.6 ± 2.9 U L-1,Includes mediator system / LMCO,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Polyporus rubidus,,Laccase,EC 1.10.3.2,Maximum laccase activity detected was 17.1 U/ml after 3 days.,Includes mediator system / LMCO,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
Pseudomonas aeruginosa,,Laccase,EC 1.10.3.2,Crude laccase decolorization study,Includes mediator system / LMCO,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt
Pyricularia oryzae,,Laccase,EC 1.10.3.2,electron-rich portion of the dye is the target of laccase action,Includes mediator system / LMCO,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
Thelephora sp.,,Laccase,EC 1.10.3.2,removed by laccase at 15 U/ml,Includes mediator system / LMCO,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
Thelephora sp.,,Laccase,EC 1.10.3.2,removed by laccase at various concentrations,Includes mediator system / LMCO,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
Thelephora sp.,,Laccase,EC 1.10.3.2,removed by laccase at various concentrations,Includes mediator system / LMCO,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
Thelephora sp.,,Laccase,EC 1.10.3.2,removed by laccase at 15 U/ml,Includes mediator system / LMCO,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
Thelephora sp.,,Lignin peroxidase,EC 1.11.1.14,removed by LiP and MnP at 15 U/ml each,,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
Thelephora sp.,,Manganese peroxidase,EC 1.11.1.13,removed by LiP and MnP at 15 U/ml each,,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
Trametes hirsuta,,Laccase,EC 1.10.3.2,Maximum laccase activity of 7614 U/L at 20th day,Includes mediator system / LMCO,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Trametes hirsuta,,Laccase,EC 1.10.3.2,Addition of 1mM Copper Sulphate resulted in laccase activity of 17074 U/L,Includes mediator system / LMCO,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Trametes hirsuta,,Laccase,EC 1.10.3.2,"1mM 2,5 xylidine addition resulted in maximum laccase activity of 23543 U/L",Includes mediator system / LMCO,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Trametes hirsuta,,Laccase,EC 1.10.3.2,Maximum laccase activity of 25889 U/L using Plakett-Burman design,Includes mediator system / LMCO,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Trametes hirsuta,,Laccase,EC 1.10.3.2,Peptone as nitrogen source provided maximum laccase activity of 17390 U/L,Includes mediator system / LMCO,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Trametes hirsuta,,Laccase,EC 1.10.3.2,Control with no copper sulphate had laccase activity of 4236 U/L,Includes mediator system / LMCO,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Trametes hirsuta,,Laccase,EC 1.10.3.2,"Highest laccase activity observed with 1mM 2, 5 xylidine after 3rd day of addition",Includes mediator system / LMCO,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Trametes versicolor,,Laccase,EC 1.10.3.2,Laccase was totally inactivated.,Includes mediator system / LMCO,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt
Trametes versicolor,,Laccase,EC 1.10.3.2,Laccase genes expression was affected by specific substrates,Includes mediator system / LMCO,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt
Trametes versicolor,,Laccase,EC 1.10.3.2,Laccase production with glucose,Includes mediator system / LMCO,Effect+of+Glucose+Addition+on+Laccase+Production_.txt
Trametes versicolor BBEL0970,,Laccase,EC 1.10.3.2,Laccase production was maximal at 10.3 U/ml on the 20th day.,Includes mediator system / LMCO,Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt
Trametes versicolor BBEL0970,,Laccase,EC 1.10.3.2,Laccase activity preference was noted under acidic conditions with optimal range from 1.8 to 4.0.,Includes mediator system / LMCO,Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt
Trametes vesicolor,,Laccase,EC 1.10.3.2,Laccase activity measured,Includes mediator system / LMCO,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Trametes vesicolor,,Laccase,EC 1.10.3.2,Laccase activity measured,Includes mediator system / LMCO,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Trametes vesicolor,,Laccase,EC 1.10.3.2,Laccase activity measured,Includes mediator system / LMCO,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Trametes vesicolor,,Laccase,EC 1.10.3.2,Laccase activity measured,Includes mediator system / LMCO,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
